"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PATH","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","2","4.000","50.0",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".",".",".",".","."
"Senior","","2","3.625","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","5","3.750","60.0",".","20.0",".","",".","",".","",".","20.0","",".",".","",".","",".",".",".",".","."
"Special","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","72","3.708","34.7","1.4","4.2",".","",".","",".","",".","40.3","",".","13.9","",".","",".","5.6",".",".","."
"Prof Yr 3","","3","4.000","66.7",".",".",".","",".","",".","",".","33.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","5","3.938","80.0","20.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","8","3.955","75.0","12.5",".",".","",".","",".","",".","12.5","",".",".","",".","",".",".",".",".","."
