"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Seminar-Psychiatry and Law","911
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","915
002","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915
003","13","3.636","38.5","30.8","15.4",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","38","3.836","42.1","13.2","5.3",".",".",".",".","39.5",".",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","918
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Legal Profession","934
001","27","3.587","40.7","18.5","25.9",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"Health Law & Admin Seminar","935
001","21","3.738","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Family Law-Smr","939
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
001","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
940","16","3.633","56.3","18.8","12.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","940
004","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
940","21","3.595","42.9","33.3","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
006","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
007","11","3.438","36.4","9.1","18.2",".","9.1",".",".","27.3",".",".",".",".",".",".",".","."
"","008
940","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
009","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
010","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","940
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
014","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
016","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
017","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
018","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
940","9","3.167","33.3","11.1","33.3",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","940
020","26","3.558","34.6","42.3","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
021","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","022
940","15","3.533","53.3","6.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","940
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","247","3.740","59.1","18.2","13.0","0.4","1.6",".",".","7.7",".",".",".",".",".",".",".","."
"","950
001","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","950
002","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Problems:Bus Org-Seminar","953
001","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Estate Planning","957
001","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law & Economics-Seminar","001
974","16","3.750","56.3","18.8","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Probs in Consumer Law-Smr","985
001","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Law and Practice","989
001","24","3.471","29.2","16.7","20.8",".",".","4.2",".","29.2",".",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 320 of 391",""
