"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","105
001","","19","3.579","57.9","10.5","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","22","3.680","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","001
205","","185","3.672","57.3","27.0","9.2","3.2","1.6","0.5",".","0.5",".",".",".",".",".",".","0.5","."
"Cont Issues-Social Welfare","275
001","","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
002","","8","3.818","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
004","","8","3.871","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
005","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
006","","8","3.939","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
400","","12","3.915","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","","73","3.920","84.9","13.7","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","401
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Poverty and Social Welfare","420
001","","25","3.500","44.0","16.0","24.0","4.0","4.0",".",".","8.0",".",".",".",".",".",".",".","."
"","440
002","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
003","","19","3.579","47.4","21.1","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","","19","3.944","89.5",".","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","005
440","","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice Soc Work I","Course Total","","73","3.757","65.8","17.8","15.1",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Interpersonal Skills Devel","458
001","","74","3.953","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","523
001","","50","3.150","26.0","32.0","20.0","6.0","8.0","8.0",".",".",".",".",".",".",".",".",".","."
"","579
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
002","","7","3.500","28.6","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Social Work","Course Total","","15","3.767","66.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Field of Social Work","605
001","","56","3.902","85.7","8.9","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","92","3.750","78.3","6.5","10.9",".","3.3",".","1.1",".",".",".",".",".",".",".",".","."
"","644
001","","36","3.617","61.1","11.1","11.1","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","002
644","","12","3.371","33.3","41.7","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","48","3.553","54.2","18.8","12.5","4.2","4.2","2.1",".","4.2",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","055
699","","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 289 of 391",""
