"","799
014","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"Study-Relig of Ancient Israel","955
001","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","990
011","6","",".",".",".",".",".",".",".","100.0",".","",".",".","",".","",".","",".",".","."
"HEBR ST
440","Dept. Total","366","3.574","49.5","23.2","15.6","2.7","2.5","1.1","0.5","4.4","",".",".","",".","",".","",".",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","47","3.645","53.2","25.5","17.0","4.3",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","100","3.588","48.0","27.0","19.0","3.0","2.0",".",".","1.0","",".",".","",".","",".","",".",".",".","."
"Junior","","96","3.569","54.2","24.0","13.5",".","4.2","2.1","1.0","1.0","",".",".","",".","",".","",".",".",".","."
"Senior","","74","3.542","51.4","21.6","12.2","6.8","2.7",".","1.4","2.7","",".",".","",".","",".","",".",".","1.4","."
"Undergraduates","","317","3.580","51.4","24.6","15.5","3.2","2.5","0.6","0.6","1.3","",".",".","",".","",".","",".",".","0.3","."
"Special","","16","3.730","50.0","6.3","12.5",".",".",".",".","25.0","",".",".","",".","",".","",".",".","6.3","."
"Graduate","","33","3.394","30.3","18.2","18.2",".","3.0","6.1",".","24.2","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","366","3.574","49.5","23.2","15.6","2.7","2.5","1.1","0.5","4.4","",".",".","",".","",".","",".",".","0.5","."
