"L&S","","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"","320
001","","24","3.646","58.3","20.8","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
320","","27","3.722","59.3","33.3",".","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","320
003","","25","3.160","40.0","8.0","32.0",".","12.0","8.0",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","","76","3.513","52.6","21.1","14.5","5.3","3.9","2.6",".",".",".",".",".",".",".",".",".","."
"","322
001","","22","3.500","50.0","22.7","4.5","22.7",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","27","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","","49","3.622","53.1","28.6","8.2","10.2",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","323
001","","22","3.182","31.8","18.2","31.8","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","324
001","","31","3.145","25.8","25.8","32.3","3.2","6.5","3.2","3.2",".",".",".",".",".",".",".",".","."
"","325
001","","22","3.568","50.0","22.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","","19","3.263","21.1","36.8","26.3","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","","41","3.427","36.6","29.3","22.0","7.3","4.9",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","326
001","","25","3.580","60.0","12.0","20.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"","327
001","","22","3.205","27.3","27.3","22.7","4.5","18.2",".",".",".",".",".",".",".",".",".",".","."
"","002
327","","23","3.609","73.9","8.7","8.7",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","","45","3.411","51.1","17.8","15.6","2.2","11.1",".","2.2",".",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","","35","3.599","48.6","22.9","22.9","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"","417
001","","21","3.868","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
002","","27","3.873","74.1","25.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura del Siglo de Oro","Course Total","","48","3.871","77.1","20.8","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","001
429","","29","3.638","48.3","31.0","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit-Twentieth Century","453
001","","20","3.460","25.0","40.0","25.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Topics in Spanish Lit","456
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Literatura Hispanoamericana","460
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spanish Amer Short Story","461
001","","16","3.704","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
468","","29","3.913","86.2","3.4","6.9",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Topics in Hispanic Culture","Course Total","","30","3.916","86.7","3.3","6.7",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Surv-Span Am Lit:Disc-Modrn","001
501","","33","3.470","27.3","39.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of Spanish","545
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Span: Study Abroad","599
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Historia-Teoria Literaria","627
001","","26","3.760","57.7","30.8","7.7",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Senior Honors Thesis","682
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Smr-Spanish American Lit","001
801","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philologicl Smr-Old Spanish","811
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Smr: Modern Spanish","815
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Modern Spanish Lit","861
001","","14","3.250","57.1",".","21.4","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
