"BUS","","","","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Data Analysis for Managers","Course Total","56","3.661","46.4","39.3","14.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Adv Statistical Methods I","706
001","33","3.578","51.5","9.1","36.4",".",".",".",".","3.0",".","",".",".","",".","",".","",".",".","."
"","710
001","26","3.750","53.8","42.3","3.8",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","002
710","19","3.711","57.9","26.3","15.8",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Ethics & Social Responsblty","Course Total","45","3.733","55.6","35.6","8.9",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Experience in Business","750
002","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","765
001","12","3.750","75.0",".","25.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","765
002","15","3.650","46.7",".","13.3","6.7",".",".",".","33.3",".","",".",".","",".","",".","",".",".","."
"","765
003","14","3.500","50.0","28.6",".","14.3","7.1",".",".",".",".","",".",".","",".","",".","",".",".","."
"Contemporary Topics","Course Total","41","3.625","56.1","9.8","12.2","7.3","2.4",".",".","12.2","",".",".","",".","",".","",".",".",".","."
"","799
033","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","799
093","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Rdg & Rsch-Business Rsch","Course Total","2","***","","","","","","","","","","","","","","","","","","","",""
"GEN BUS
231","Dept. Total","1423","3.373","40.5","22.7","20.3","5.2","8.1","0.5","0.1","0.8","",".","1.7","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Sophomore","","5","4.000","60.0",".",".",".",".",".",".",".","",".","40.0","",".","",".","",".",".",".","."
"Junior","","419","3.224","32.2","18.6","28.6","6.9","11.7","1.0","0.5","0.2","",".","0.2","",".","",".","",".",".",".","."
"Senior","","603","3.305","33.0","23.9","23.1","6.8","10.6","0.5",".","0.5","",".","1.7","",".","",".","",".",".",".","."
"Undergraduates","","1036","3.273","32.5","21.4","25.0","6.8","10.9","0.7","0.2","0.4","",".","2.1","",".","",".","",".",".",".","."
"Special","","16","3.378","43.8","12.5","6.3","18.8","12.5",".",".","6.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","366","3.779","63.1","27.0","7.1","0.3",".",".",".","1.9","",".","0.5","",".","",".","",".",".",".","."
"Prof Yr 3","","5","3.308","40.0",".","60.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","5","3.308","40.0",".","60.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1423","3.373","40.5","22.7","20.3","5.2","8.1","0.5","0.1","0.8","",".","1.7","",".","",".","",".",".",".","."
