"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"511
Intro Ag & Nat Rscrs-Dev Cntry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Principles of Adult Education","001","","20","3.325","35.0","25.0","15.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"661
Org&Oper-Educ for Work Progrms","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"665
Career Dev Through Life Spn","001","","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"705
Leadership Dynamics","001","","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"720
Intro-Continuing & Voc Educ","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
Program Develop-Cont Educ","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"749
Teaching-Learning: Adult Ed","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Leadershp & Coord-Cont&Tech Ed","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"814
Technol in Cont & Higher Educ","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"Research","Course Total","","20","",".",".",".",".",".",".",".","45.0","5.0",".",".","50.0",".",".",".","."
