"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","23","3.217","26.1","26.1","39.1",".",".","8.7",".",".",".",".",".",".",".",".",".","."
"","101
002","23","3.696","69.6","13.0","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","101
004","22","2.762","22.7","22.7","13.6","4.5","18.2","4.5","9.1","4.5",".",".",".",".",".",".",".","."
"","101
005","20","3.475","35.0","35.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","22","3.409","31.8","36.4","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
007","21","3.095","23.8","14.3","42.9","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","101
008","23","3.022","21.7","8.7","39.1","13.0","17.4",".",".",".",".",".",".",".",".",".",".","."
"","101
010","18","2.917","16.7","22.2","38.9","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"","101
011","18","3.324","44.4","5.6","27.8","11.1",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"","101
013","21","2.571","9.5","9.5","42.9","19.0","4.8",".","14.3",".",".",".",".",".",".",".",".","."
"","101
014","16","3.067","12.5","18.8","37.5","18.8","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","101
015","22","3.238","31.8","9.1","31.8","18.2","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","249","3.155","29.3","18.5","29.7","9.6","6.4","2.4","2.4","1.6",".",".",".",".",".",".",".","."
"","102
003","20","3.100","10.0","30.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
005","23","2.891","13.0","21.7","39.1",".","17.4","8.7",".",".",".",".",".",".",".",".",".","."
"","102
007","22","2.364","13.6","4.5","9.1","31.8","22.7","13.6","4.5",".",".",".",".",".",".",".",".","."
"","102
009","19","2.889",".","36.8","36.8","5.3","5.3","10.5",".","5.3",".",".",".",".",".",".",".","."
"","102
011","13","3.192","30.8","15.4","38.5","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"","102
012","19","3.000","21.1","31.6","10.5","10.5","10.5","10.5",".","5.3",".",".",".",".",".",".",".","."
"","102
013","8","3.125","50.0","12.5","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","124","2.893","16.1","22.6","27.4","11.3","11.3","8.1","1.6","1.6",".",".",".",".",".",".",".","."
"First Semester Italian Honors","181
001","17","3.471","52.9","5.9","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","201
002","17","3.265","23.5","17.6","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","201
004","22","3.548","63.6","13.6","9.1",".","4.5",".","4.5","4.5",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","39","3.421","46.2","15.4","25.6","5.1","2.6",".","2.6","2.6",".",".",".",".",".",".",".","."
"","001
203","21","3.262","33.3","28.6","9.5","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","22","3.455","36.4","22.7","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","004
203","21","3.275","42.9","14.3","14.3","9.5","9.5","4.8",".","4.8",".",".",".",".",".",".",".","."
"","203
006","18","3.194","16.7","22.2","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
008","16","3.656","62.5","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","98","3.361","37.8","20.4","24.5","10.2","5.1","1.0",".","1.0",".",".",".",".",".",".",".","."
"","204
001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","16","3.733","62.5","12.5","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","32","3.790","65.6","21.9","9.4",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"","311
001","15","3.286","40.0","20.0","13.3","6.7","6.7","6.7",".","6.7",".",".",".",".",".",".",".","."
"","311
002","15","3.300","26.7","20.0","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","Course Total","30","3.293","33.3","20.0","26.7","10.0","3.3","3.3",".","3.3",".",".",".",".",".",".",".","."
"Intro to Italian Literature","001
321","27","3.244","33.3","14.8","33.3","14.8",".","3.7",".",".",".",".",".",".",".",".",".","."
"","340
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
340","19","3.929","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structures of Italian","Course Total","20","3.932","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Italian Lit","450
001","8","3.640","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Il Settecento","621
001","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
