"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","232","3.259","16.8","26.3","47.0","7.3","0.9",".",".","1.7",".",".",".",".",".",".",".","."
"","002
300","219","3.071","12.3","18.3","44.3","21.5","2.7","0.5",".","0.5",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","451","3.167","14.6","22.4","45.7","14.2","1.8","0.2",".","1.1",".",".",".",".",".",".",".","."
"","001
305","42","3.357","14.3","52.4","26.2","4.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"","305
002","48","3.344","10.4","60.4","22.9","4.2",".","2.1",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","90","3.350","12.2","56.7","24.4","4.4","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"","310
001","44","3.557","31.8","50.0","15.9","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","46","3.256","17.4","41.3","19.6","13.0","6.5",".",".","2.2",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","102","3.411","23.5","47.1","18.6","6.9","2.9",".",".","1.0",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","30","3.678","36.7","63.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
"","415
001","46","3.207","26.1","4.3","58.7","6.5","4.3",".",".",".",".",".",".",".",".",".",".","."
"","415
002","47","3.255","29.8",".","66.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","93","3.231","28.0","2.2","62.4","3.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"","420
001","28","3.143","10.7","35.7","25.0","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","32","3.328","18.8","40.6","31.3","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","Course Total","60","3.242","15.0","38.3","28.3","16.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"","001
425","49","3.408","10.2","61.2","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","45","3.378","6.7","62.2","31.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","94","3.394","8.5","61.7","29.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","40","3.700","57.5","25.0","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","26","3.462","19.2","53.8","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","66","3.606","42.4","36.4","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
635","43","3.628","34.9","55.8","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
635","23","3.739","60.9","30.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","Course Total","66","3.667","43.9","47.0","7.6","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","37","3.095","13.5","24.3","37.8","16.2","8.1",".",".",".",".",".",".",".",".",".",".","."
"","002
640","24","3.375","29.2","37.5","16.7","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","61","3.205","19.7","29.5","29.5","14.8","6.6",".",".",".",".",".",".",".",".",".",".","."
"","700
001","52","3.548","30.8","48.1","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
700","45","3.534","33.3","37.8","26.7",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"Marketing Management","Course Total","97","3.542","32.0","43.3","23.7",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"Marketing Research","710
001","34","3.515","32.4","44.1","20.6",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","001
715","28","3.696","67.9","7.1","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","41","3.700","56.1","24.4","17.1",".",".",".",".",".",".",".",".",".",".","2.4",".","."
"Seminar-Supply Chain Managemnt","726
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
144","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
218","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
