"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Bacteriology","001","","57","3.439","40.4","21.1","28.1","7.0","3.5",".",".",".",".",".",".",".",".",".",".","."
"302","001","","26","3.269","23.1","19.2","46.2","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"302","002","","16","3.563","37.5","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Microbiology Lab","Course Total","","42","3.381","28.6","28.6","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"341
Immunology","001","","103","3.147","30.1","21.4","19.4","11.7","12.6","3.9",".",".",".",".",".",".",".","1.0",".","."
"504
Infect Disease-Human Beings","001","","43","3.159","20.9","7.0","48.8","18.6",".",".",".","4.7",".",".",".",".",".",".",".","."
"528
Immunology","001","","58","3.071","27.6","6.9","41.4","3.4","13.8","1.7","1.7","3.4",".",".",".",".",".",".",".","."
"529
Immunology Laboratory","001","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"554
Infect Diseases & Bioterrorism","001","","38","3.553","47.4","26.3","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"677","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"677","012","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"696
Senior Seminar","001","","9","3.556","11.1","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Infection and Immunity I","001","","158","3.389","30.4","28.5","32.3","6.3","2.5",".",".",".",".",".",".",".",".",".",".","."
"740
Mech Microbial Pathogenesis","001","","24","3.396","29.2","37.5","29.2",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"900
Journal Club","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar","001","","46","3.935","93.5",".","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 332 of 391",""
