"L&S","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4525","3.015","31.4","15.1","19.9","11.0","15.1","3.6","1.7","1.8","0.0",".","",".","0.1","0.1","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1051","2.697","16.9","15.1","18.3","15.6","23.2","7.9","2.9",".",".",".","",".",".",".","0.1",".","."
"Sophomore","","932","2.943","23.9","16.0","22.9","14.5","17.1","3.4","1.8","0.2",".",".","",".",".",".","0.1",".","0.1"
"Junior","","1033","2.997","29.8","14.6","24.0","11.9","14.8","2.9","1.7","0.2",".",".","",".",".",".",".",".","."
"Senior","","1156","3.285","43.6","16.9","19.4","5.9","10.6","1.4","1.0","0.9","0.1",".","",".",".","0.1","0.1","0.1","."
"Undergraduates","","4172","2.987","29.1","15.7","21.0","11.7","16.3","3.9","1.8","0.3","0.0",".","",".",".","0.0","0.1","0.0","0.0"
"Special","","60","3.199","40.0","13.3","23.3","8.3","6.7","1.7","1.7","1.7",".",".","",".",".",".",".","3.3","."
"Graduate","","283","3.837","64.0","6.7","2.8",".",".","0.7",".","23.3","0.4",".","",".","1.1","0.7",".","0.4","."
"Prof Yr 1","","4","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","6","2.868","16.7","16.7","33.3","16.7",".","16.7",".",".",".",".","",".",".",".",".",".","."
"Professionals","","10","3.306","50.0","10.0","20.0","10.0",".","10.0",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","4525","3.015","31.4","15.1","19.9","11.0","15.1","3.6","1.7","1.8","0.0",".","",".","0.1","0.1","0.1","0.1","0.0"
