"","990
061","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
062","2","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
064","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","41","",".",".",".",".","",".","",".","",".","70.7",".",".",".","29.3","",".",".",".","."
"MED PHYS
621","Dept. Total","171","3.513","34.5","18.1","21.6","1.8","",".","",".","",".","17.0",".",".",".","7.0","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","4","3.250",".","50.0","50.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","5","3.308","20.0","40.0","40.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","166","3.521","34.9","17.5","21.1","1.8","",".","",".","",".","17.5",".",".",".","7.2","",".",".",".","."
"","Dept. Total","171","3.513","34.5","18.1","21.6","1.8","",".","",".","",".","17.0",".",".",".","7.0","",".",".",".","."
