"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","110
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","16","3.867","75.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"","012
115","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","013
115","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
015","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
025","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
026","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
027","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"","115
028","8","3.429","75.0",".",".",".",".",".","12.5",".",".",".",".",".","12.5",".",".","."
"","030
115","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","10","3.778","70.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","10.0","."
"Human Dev: Ed Effectiveness","Course Total","155","3.894","87.1","6.5","1.3","1.3","0.6",".","0.6",".",".",".",".",".","0.6","0.6","1.3","."
"Spec Topics-Cnslg & Guidnce","620
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","650
001","110","3.252","18.2","42.7","23.6","9.1","1.8","2.7","0.9",".",".",".",".",".",".","0.9",".","."
"Career Dev Through Life Spn","665
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Theories of Counseling","800
001","25","3.880","84.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","801
001","22","3.455","22.7","50.0","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805
001","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
001","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","807
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Csnlg Psych Tech-Families","825
001","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultation Proc-Counselor","850
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","900
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","19","",".",".",".",".",".",".",".",".",".","94.7",".",".",".",".","5.3","."
"Smr-Counseling Psychology","925
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Methods in Cnsl Psych","001
950","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Training & Supervision","953
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Voc Psych & Career Dev","956
001","11","4.000","72.7",".",".",".",".",".",".",".",".",".",".",".","27.3",".",".","."
