"REAL ESTATE & URBAN LAND E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306","001","174","3.164","23.0","28.7","20.1","13.2","8.6","2.3","0.6","3.4",".",".",".",".",".",".",".","."
"Real Estate Law","312","001","49","3.306","36.7","16.3","26.5","16.3","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","399","097","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","410","001","20","3.250","35.0","20.0","10.0","5.0","20.0",".",".","10.0",".",".",".",".",".",".",".","."
"","410","002","39","3.066","20.5","12.8","43.6",".","20.5",".",".","2.6",".",".",".",".",".",".",".","."
"Real Estate Finance","","Course Total","59","3.125","25.4","15.3","32.2","1.7","20.3",".",".","5.1",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415","001","39","3.474","23.1","51.3","23.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420","001","86","3.372","20.9","48.8","20.9","2.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611","001","45","3.420","15.6","64.4","8.9","4.4","4.4",".",".",".",".",".",".",".","2.2",".",".","."
"The Real Estate Process","706","001","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710","001","19","3.526","21.1","63.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712","001","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715","002","20","3.475","35.0","25.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750","001","17","3.441","11.8","64.7","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","030","33","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","43","3.844","72.1","20.9","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","091","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Smr-Urban Land Econ PhD","978","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990","083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","097","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","116","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng&Rsch-Real Estate PhD","","Course Total","3","***","","","","","","","","","","","","","","","",""
