"SCANDINAVIAN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","23","3.261","39.1","26.1","26.1",".",".",".","8.7",".",".",".",".",".",".",".",".","."
"","101","002","","17","3.529","47.1","23.5","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Norwegian","","Course Total","","40","3.375","42.5","25.0","22.5","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"First Semester Swedish","111","001","","24","3.674","45.8","37.5","12.5",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"First Semester Danish","121","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Year Norwegian","201","001","","14","3.321","42.9","21.4","14.3",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"Second Year Swedish","211","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Danish","221","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in Norwegian Lit","251","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in Swedish Lit","261","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in Danish Lit","271","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Intensive Finnish I","301","001","","13","3.727","38.5","46.2",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Scand Lit:Middle Ages-1900","373","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Old Norse","407","001","","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama of August Strindberg","423","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hamsun-20 C Norwegian Novel","425","001","","13","3.667","38.5","46.2","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Kierkegaard & Scand Lit","426","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mythology of Scandinavia","429","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Icelandic Sagas","435","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Scand Lit: 1800-1890","635","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","15","3.941","86.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"","799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Research and Thesis","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
