"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"942
Smr-Physical Organic Chem","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Bio-Organic Chemistry","Course Total","","4","***","","","","","","","","","","","","","","","",""
"960
Seminar-Physical Chemistry","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"962
Smr-Macromolecular Chem","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964
Seminar: Molecular Dynamics","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","34","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","034","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","050","","10","",".",".",".",".",".",".",".","20.0",".",".",".","80.0",".",".",".","."
"990","058","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Organic","Course Total","","118","",".",".",".",".",".",".",".","88.1",".",".",".","11.9",".",".",".","."
"991
Research General","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"992","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"992","008","","8","",".",".",".",".",".",".",".","37.5",".",".",".","62.5",".",".",".","."
"992","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"992","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"992","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"992","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"992","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"992","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"992","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 171 of 391",""
