"","990
025","","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
060","","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
067","","3","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".","",".","100.0",".",".",".","",".","",".",".",".","."
"IND REL
492","Dept. Total","","71","3.583","38.0","23.9","8.5","2.8","1.4","1.4","",".","23.9",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"492
IND REL","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","10","3.600","40.0","40.0","20.0",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Senior","","","22","3.364","40.9","27.3","13.6","9.1","4.5","4.5","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","","32","3.438","40.6","31.3","15.6","6.3","3.1","3.1","",".",".",".",".",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Graduate","","","38","3.786","34.2","18.4","2.6",".",".",".","",".","44.7",".",".",".","",".","",".",".",".","."
"","Dept. Total","","71","3.583","38.0","23.9","8.5","2.8","1.4","1.4","",".","23.9",".",".",".","",".","",".",".",".","."
