"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"950","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Plant Ecology","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Seminar-Plant Physiology","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990
Research-Phycology","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"993
Research-Mycology","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"994","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"994","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Systematics","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"995","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"995","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"995","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"995","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"995","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Ecology","Course Total","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"996","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"996","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Physiology","Course Total","","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
