"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","128","3.035","14.1","28.9","26.6","20.3","5.5","2.3","1.6","0.8",".",".",".",".",".",".",".","."
"","120","001","154","2.819","16.9","16.2","25.3","14.3","17.5","7.1","1.3","0.6",".",".",".",".",".","0.6",".","."
"","120","002","158","2.690","13.9","9.5","22.8","18.4","31.6","2.5","1.3",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","312","2.753","15.4","12.8","24.0","16.3","24.7","4.8","1.3","0.3",".",".",".",".",".","0.3",".","."
"Atmspherc Envirnmnt&Society","121","001","59","3.212","27.1","25.4","16.9","23.7","6.8",".",".",".",".",".",".",".",".",".",".","."
"","127","001","72","2.986","19.4","26.4","15.3","12.5","25.0","1.4",".",".",".",".",".",".",".",".",".","."
"","127","002","133","3.049","19.5","22.6","27.1","12.8","16.5","1.5",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","205","3.027","19.5","23.9","22.9","12.7","19.5","1.5",".",".",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","18","3.250","27.8","27.8","27.8",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","22","3.310","36.4","22.7","9.1","18.2","9.1",".",".",".",".",".",".",".",".","4.5",".","."
"Bascom Course","236","001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","16","3.536","37.5","31.3","6.3","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","14","2.821","14.3","14.3","35.7","7.1","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","16","2.800","18.8","25.0","18.8","12.5",".","12.5","6.3","6.3",".",".",".",".",".",".",".","."
"Population-Migrat&Diffusion","300","001","33","3.409","33.3","33.3","21.2","6.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","41","3.500","51.2","19.5","14.6","9.8",".",".","2.4","2.4",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","29","3.179","34.5","17.2","13.8","17.2","10.3","3.4",".","3.4",".",".",".",".",".",".",".","."
"Geomorphology","320","001","23","3.109","30.4","4.3","47.8",".","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","339","001","54","3.125","24.1","16.7","29.6","11.1","14.8",".",".","1.9",".",".",".",".",".","1.9",".","."
"","339","002","43","2.791","9.3","25.6","27.9","16.3","9.3","9.3","2.3",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","97","2.974","17.5","20.6","28.9","13.4","12.4","4.1","1.0","1.0",".",".",".",".",".","1.0",".","."
"The American West","344","001","34","3.206","35.3","17.6","14.7","23.5","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"Europe","349","001","62","3.279","25.8","33.9","16.1","17.7","3.2","1.6",".","1.6",".",".",".",".",".",".",".","."
"Russia & NIS-Topical Anal","353","001","15","3.733","60.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Africa, South of the Sahara","355","001","19","3.079","21.1","15.8","36.8","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","30","2.417","13.3","20.0","20.0","10.0","13.3","6.7","16.7",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","34","3.182","17.6","35.3","26.5","11.8","2.9",".","2.9",".",".",".",".",".",".",".","2.9","."
"Intro to Geog Info Systems","377","001","43","3.000","25.6","25.6","11.6","16.3","11.6","2.3","4.7",".",".",".",".",".",".","2.3",".","."
"Amer Environmental History","460","001","18","3.529","38.9","33.3","11.1","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"Ldscap&Settlmt-N Amer Past","508","001","24","3.688","79.2","12.5",".",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Environment & Human Experience","519","001","22","3.452","27.3","36.4","27.3","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Soil Geomorphology","525","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Humid Tropics","538","001","30","3.617","50.0","33.3","10.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","20","3.375","50.0","35.0","5.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","20","3.450","40.0","30.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","602","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
