"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"The American Jewish Experience","219
001","32","3.259","12.5","34.4","34.4","6.3","3.1",".",".","9.4",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","25","3.300","20.0","48.0","24.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","8","3.250","25.0","37.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Jews, States, & Citizenshp","258
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Yidd Lit/Trans-E Eur,1850-1930","269
001","28","3.741","46.4","50.0",".",".",".",".",".",".",".",".",".",".",".",".","3.6","."
"Jewish Cultural History","377
001","98","3.479","34.7","38.8","17.3","2.0","1.0",".","2.0","4.1",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jewish Civ-Medvl Spain(Eng)","473
001","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","490
001","19","3.184","21.1","36.8","26.3","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"","490
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Jewish Studies","Course Total","21","3.190","19.0","38.1","28.6","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Jewish Law and Ethics","613
001","16","3.667","56.3","18.8","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"JEWISH
510","Dept. Total","258","3.438","32.9","37.2","19.4","3.9","1.2","0.4","1.6","3.1",".",".",".",".",".",".","0.4","."
