"","890
004","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","890
011","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","890
014","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Individual Research Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","",""
"LATIN
524","Dept. Total","227","3.402","49.3","19.8","11.0","5.3","7.5","3.1","0.9","2.2","0.4",".","",".","",".","",".","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","51","3.265","41.2","21.6","9.8","11.8","11.8","3.9",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","50","3.530","52.0","22.0","18.0",".","6.0","2.0",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","49","3.354","46.9","24.5","14.3","2.0","4.1","6.1","2.0",".",".",".","",".","",".","",".",".",".","."
"Senior","","44","3.241","47.7","15.9","9.1","9.1","13.6","2.3","2.3",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","194","3.352","46.9","21.1","12.9","5.7","8.8","3.6","1.0",".",".",".","",".","",".","",".",".",".","."
"Special","","6","3.895","66.7","16.7",".",".",".",".",".","16.7",".",".","",".","",".","",".",".",".","."
"Graduate","","27","3.855","63.0","11.1",".","3.7",".",".",".","14.8","3.7",".","",".","",".","",".","3.7",".","."
"","Dept. Total","227","3.402","49.3","19.8","11.0","5.3","7.5","3.1","0.9","2.2","0.4",".","",".","",".","",".","0.4",".","."
