"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"1st-Yr Seminar: Biological Sci","Course Total","38","3.824","71.1","18.4","7.9",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"1st-Yr Seminar: Humanities","102
001","19","3.289","21.1","26.3","47.4",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Natural Sci","104
001","18","3.306","16.7","44.4","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001","19","3.763","68.4","26.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","106
002","20","3.725","65.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","39","3.744","66.7","20.5","10.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","110
001","20","3.575","45.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","25","3.521","40.0","24.0","28.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"1st-Yr Smr: Humanities&Soc Sci","Course Total","45","3.545","42.2","26.7","24.4","4.4",".",".",".","2.2",".",".",".",".",".",".",".","."
"","118
001","20","3.000","15.0","25.0","40.0","5.0","5.0","10.0",".",".",".",".",".",".",".",".",".","."
"","118
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Soc Sci, Ethnic St","Course Total","40","3.500","57.5","12.5","20.0","2.5","2.5","5.0",".",".",".",".",".",".",".",".",".","."
"","001
250","13","3.724","69.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","002
250","12","3.922","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","18","3.854","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","14","3.903","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","15","3.786","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
250","13","3.968","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","12","3.800","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
250","14","3.848","64.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"","250
010","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","142","3.878","80.3","14.8","3.5",".","0.7",".",".",".",".",".",".",".",".",".","0.7","."
"INTER-LS
502","Dept. Total","341","3.690","63.3","19.4","12.9","1.8","1.2","0.6",".","0.3",".",".",".",".","0.3",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","219","3.607","54.8","21.0","18.3","2.7","1.4","0.9",".",".",".",".",".",".","0.5",".","0.5","."
"Sophomore","","80","3.826","72.5","23.8","2.5",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"Junior","","35","3.962","91.4","2.9","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Senior","","6","3.769","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","340","3.689","63.2","19.4","12.9","1.8","1.2","0.6",".","0.3",".",".",".",".","0.3",".","0.3","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","341","3.690","63.3","19.4","12.9","1.8","1.2","0.6",".","0.3",".",".",".",".","0.3",".","0.3","."
