"","699
008","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","699
009","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","699
10","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Directed Studies-Molec Biol","Course Total","","9","3.885","88.9",".","11.1",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"MOL BIOL
650","Dept. Total","","20","3.893","80.0","10.0","5.0",".","",".","",".","",".","",".","",".",".","",".","5.0","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"650
MOL BIOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","","18","3.880","77.8","11.1","5.6",".","",".","",".","",".","",".","",".",".","",".","5.6","",".",".",".","."
"Undergraduates","","","19","3.887","78.9","10.5","5.3",".","",".","",".","",".","",".","",".",".","",".","5.3","",".",".",".","."
"Special","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","","20","3.893","80.0","10.0","5.0",".","",".","",".","",".","",".","",".",".","",".","5.0","",".",".",".","."
