"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","100","001","18","3.222","5.6","38.9","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100","002","17","3.382","17.6","58.8","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Freshman Topics Seminar","","Course Total","35","3.300","11.4","48.6","28.6","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","103","001","475","3.169","26.5","24.0","24.0","13.1","9.5","1.3","1.1","0.4",".",".",".",".",".","0.2",".","."
"","104","001","396","2.996","10.1","32.6","28.5","16.7","7.1","3.0","1.8",".",".",".",".",".","0.3",".",".","."
"","104","002","421","2.886","14.7","20.2","25.2","18.1","16.6","2.4","1.9","0.5",".",".",".",".",".",".","0.5","."
"Intro-Amer Politcs&Governmt","","Course Total","817","2.940","12.5","26.2","26.8","17.4","12.0","2.7","1.8","0.2",".",".",".",".","0.1",".","0.2","."
"Intro-Comparative Politics","106","001","334","3.065","14.7","24.3","32.3","18.0","9.0","1.2",".",".",".",".",".",".","0.3","0.3",".","."
"Directed Study","199","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to State Government","205","001","103","3.132","27.2","29.1","12.6","14.6","12.6",".","2.9","1.0",".",".",".",".",".",".",".","."
"","209","001","194","3.434","34.0","34.5","21.1","4.1","2.6","0.5","1.0","1.0",".",".",".",".",".",".","1.0","."
"","209","002","58","3.054","6.9","25.9","43.1","19.0",".",".","1.7","3.4",".",".",".",".",".",".",".","."
"Intro to Political Theory","","Course Total","252","3.365","27.8","32.5","26.2","7.5","2.0","0.4","1.2","1.6",".",".",".",".",".",".","0.8","."
"Law, Politics and Society","217","001","85","3.041","25.9","17.6","31.8","7.1","9.4","7.1","1.2",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","218","001","21","3.550","42.9","28.6","19.0",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222","001","28","3.554","50.0","32.1","7.1","7.1",".","3.6",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","18","3.733","44.4","33.3","5.6",".",".",".",".","11.1","5.6",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","44","2.713","4.5","15.9","27.3","27.3","9.1","4.5","2.3",".",".",".",".",".","2.3","6.8",".","."
"Intro-Latin Amer Politics","261","001","57","3.055","12.3","29.8","28.1","15.8","8.8",".","1.8","3.5",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","25","3.260","16.0","40.0","24.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intl Institutns&World Order","337","001","36","3.179","22.2","22.2","41.7","8.3","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"Eur Union:Politics&Pol Econ","338","001","74","3.123","17.6","31.1","25.7","12.2","10.8",".","1.4",".",".",".",".",".",".","1.4",".","."
"Probs-Amer Foreign Policy","359","001","185","3.203","29.7","23.8","22.7","13.0","4.9","2.7","1.6","0.5",".",".",".",".",".","0.5","0.5","."
"African Intl Relations","362","001","38","2.959","26.3","21.1","15.8","18.4","5.3","5.3","5.3","2.6",".",".",".",".",".",".",".","."
"Study Abroad-Pol Sci:Intnl Rel","390","000A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","001","15","3.600","53.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","003","54","3.380","18.5","44.4","31.5","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","401","004","22","3.136","22.7","27.3","31.8","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","401","049","19","3.500","26.3","42.1","26.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","134","3.453","31.3","38.1","23.1","5.2","0.7",".","0.7","0.7",".",".",".",".",".",".",".","."
"Amer Politics & Government","404","001","104","3.207","19.2","35.6","27.9","11.5","2.9","1.0","1.9",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","109","3.078","18.3","31.2","22.0","13.8","11.0","2.8","0.9",".",".",".",".",".",".",".",".","."
"Constitutional Law","411","001","273","3.273","26.0","28.2","30.4","5.1","5.1","1.8","0.7","0.7",".",".",".",".","1.1",".","0.7","."
"American Judicial System","417","001","44","2.989","13.6","22.7","36.4","11.4","11.4","4.5",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","28","3.446","10.7","67.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politcal Economy-Race in US","462","001","31","3.083","41.9","16.1","9.7","6.5","12.9","3.2","6.5","3.2",".",".",".",".",".",".",".","."
"The First Amendment","470","001","189","3.079","19.0","21.2","31.7","13.2","9.5","0.5","1.6","3.2",".",".",".",".",".",".",".","."
"Public Opinion","473","001","50","3.243","18.0","32.0","26.0","14.0","4.0",".",".","4.0",".",".",".",".",".",".",".","2.0"
"Ancient&Medvl West Thought","501","001","133","3.286","22.6","38.3","26.3","6.8","3.8","0.8","1.5",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 272 of 391",""
