"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","8","3.563","62.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"130
Family & Consumer Newswrtg","001","","16","3.625","37.5","56.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"212
Intro-Scientific Communication","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"340
Contemp Comm Tech&Soc Effct","001","","23","3.478","52.2","21.7","13.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"360
Information Radio","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"430
Consumer Investgtv Reportng","001","","9","3.222","22.2","33.3","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"435
Integrated Marktng Communicatn","001","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Publications Editing","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"515","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515","002","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"530","001","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"530","002","","10","3.600","50.0","40.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","Course Total","","19","3.605","42.1","47.4","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"532
Web Design for the Sciences","001","","11","3.455","63.6","18.2","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"601
Internship","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","Dept. Total","","128","3.617","53.9","29.7","7.0","4.7","1.6","0.8","0.8",".",".","1.6",".",".",".",".",".","."
