"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"234
Prin&Prac-Nuclr Reactr Oper","001","","8","3.313","37.5",".","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"271
Engr Problem Solving I","001","","29","3.293","34.5","10.3","44.8","6.9",".","3.4",".",".",".",".",".",".",".",".",".","."
"305
Fundamentals-Nuclear Engr","001","","41","3.256","22.0","34.1","24.4","12.2","7.3",".",".",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","10","2.800","10.0","30.0","20.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","18","3.559","44.4","22.2","22.2","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"489
Honors in Research","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","7","3.071","28.6",".","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"541
Radiation Damage in Metals","001","","17","3.406","29.4","29.4","23.5","11.8",".",".",".",".",".",".",".",".","5.9",".",".","."
"547
Engineering Analysis I","001","","20","3.500","35.0","25.0","35.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"562
Applied Superconductivity","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"725
Plasma Kinetic&Radiatn Proc","001","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","23","",".",".",".",".",".",".",".","73.9",".",".",".","26.1",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
