"NUCLEAR ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"Research and Thesis","Course Total","7","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"N E
684","Dept. Total","218","3.343","27.1","18.8","25.2","6.4","2.8","0.9","",".","13.8",".",".",".","4.1","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","22","3.329","36.4","9.1","40.9","13.6",".",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","30","3.165","20.0","20.0","46.7","6.7","3.3","3.3","",".",".",".",".",".",".",".",".",".","."
"Senior","","46","3.186","28.3","23.9","17.4","17.4","8.7","2.2","",".",".",".",".",".","2.2",".",".",".","."
"Undergraduates","","98","3.214","27.6","19.4","31.6","13.3","5.1","2.0","",".",".",".",".",".","1.0",".",".",".","."
"Graduate","","122","3.507","26.2","18.0","19.7","0.8","0.8",".","",".","26.2",".",".",".","6.6","1.6",".",".","."
"","Dept. Total","220","3.343","26.8","18.6","25.0","6.4","2.7","0.9","",".","14.5",".",".",".","4.1","0.9",".",".","."
