"MEDICAL GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","",""
"Human Genetics","565
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
006","46","3.898","95.7","2.2",".",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"","677
007","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
008","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
009","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
677","18","3.882","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
677","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"","677
013","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
014","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
015","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
017","27","3.961","92.6",".","3.7",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"Advanced Topics in Genetics","Course Total","248","3.961","95.6","0.4","2.0","0.4","0.4",".","0.4",".",".",".",".",".",".","0.4","0.4","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
071","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Genetic Counselng","713
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Genetics","731
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Search Strategies&Analysis","739
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biochm Genetics for Counselors","744
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","813
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990
048","5","***","","","","","","","","","",".",".",".",".",".",".","."
"MD GENET
616","Dept. Total","316","3.929","88.9","5.1","1.9","0.3","0.9",".","0.3","1.9",".",".",".",".",".","0.3","0.3","."
