"","CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"Analys-Computers in Curric","701","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curriculum Planning","704","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research & Eval Paradigms","714","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design of Rsch in Curric","715","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","717","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching-Learning: Adult Ed","749","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Iss-Ed Communication Tech","800","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Goals,Content&Progm-Math Ed","810","001","","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Dsgn of the Curric","830","001","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teachng Conceptl Change-Sci","832","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld-School Reading Programs","840","001","","12","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues-Elementary Education","855","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supervisn-Teacher Education","860","001","","11","3.818","90.9",".",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","916","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","916","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","916","003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics:Rsch&Eval-C&I","","Course Total","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Rsch on Math Education","942","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity Issues-Music Teachng","948","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pre&In-Service Ed-Teachers","950","001","","15","3.833","53.3","26.7",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Seminar-Science Education","960","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","975","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","975","002","","9","4.000","55.6",".",".",".",".",".",".",".",".",".",".",".","33.3",".","11.1","."
"","975","004","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","975","006","","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","975","007","","12","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"General Seminar","","Course Total","","56","3.904","69.6","12.5","1.8",".",".",".",".",".",".",".",".",".","14.3",".","1.8","."
"","990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"","990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"","990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","047","","14","",".",".",".",".",".",".",".","21.4",".",".",".","78.6",".",".",".","."
"","990","051","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","052","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","056","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","","Page 88 of 391"
