"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Intro to Discrete Mathematics","240
001","83","2.707","24.1","12.0","18.1","14.5","16.9","4.8","8.4",".",".",".",".",".",".","1.2",".","."
"","302
001","97","2.601","18.6","16.5","22.7","11.3","6.2","11.3","10.3","3.1",".",".",".",".",".",".",".","."
"","302
002","80","2.756","23.8","16.3","22.5","8.8","8.8","10.0","7.5","1.3","1.3",".",".",".",".",".",".","."
"","003
302","15","2.462","13.3","13.3","13.3","13.3","13.3","13.3","6.7","13.3",".",".",".",".",".",".",".","."
"","004
302","11","2.227","18.2",".","18.2","9.1","27.3","18.2","9.1",".",".",".",".",".",".",".",".","."
"","302
005","17","2.794","29.4","5.9","11.8","23.5","17.6","11.8",".",".",".",".",".",".",".",".",".","."
"","302
006","21","2.643","23.8","14.3","4.8","19.0","23.8","9.5","4.8",".",".",".",".",".",".",".",".","."
"","302
007","12","2.591","25.0",".","8.3","25.0","16.7","16.7",".","8.3",".",".",".",".",".",".",".","."
"","302
019","19","2.579","21.1","15.8","15.8","15.8","10.5","10.5","10.5",".",".",".",".",".",".",".",".","."
"","302
020","13","2.417","15.4","7.7","15.4","7.7","30.8","7.7","7.7",".",".",".",".",".",".",".",".","7.7"
"Introduction to Programming","Course Total","285","2.629","21.1","13.7","18.6","12.6","11.9","11.2","7.7","2.5","0.4",".",".",".",".",".",".","0.4"
"Prob Solvng Using Computers","310
001","252","3.012","13.1","15.1","47.2","15.9","6.3","2.0","0.4",".",".",".",".",".",".",".",".","."
"","352
001","18","2.861","5.6","16.7","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"","002
352","42","2.952","14.3","9.5","42.9","28.6",".","4.8",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","60","2.925","11.7","11.7","40.0","30.0","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"","001
354","32","2.700","21.9","18.8","15.6","6.3","18.8",".","12.5",".",".",".",".",".",".",".","6.3","."
"","354
002","28","2.661","10.7","21.4","10.7","17.9","35.7",".","3.6",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","60","2.681","16.7","20.0","13.3","11.7","26.7",".","8.3",".",".",".",".",".",".",".","3.3","."
"","367
001","55","3.036","27.3","18.2","27.3","10.9","9.1","3.6","3.6",".",".",".",".",".",".",".",".","."
"","367
002","46","3.100","32.6","13.0","30.4","6.5","6.5","6.5","2.2",".",".",".",".",".",".","2.2",".","."
"","003
367","24","2.938","33.3","20.8","12.5",".","25.0",".","8.3",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","125","3.040","30.4","16.8","25.6","7.2","11.2","4.0","4.0",".",".",".",".",".",".","0.8",".","."
"Learn New Programming Lang","368
001","23","",".",".",".",".",".",".",".",".",".","87.0","13.0",".",".",".",".","."
"Intro to Numerical Methods","412
001","66","3.136","19.7","25.8","34.8","13.6","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Intro-Stat Data Processing","471
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Splines and Wavelets","001
515","6","3.500","33.3","16.7","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Intro-Theoretical Comp Sci","520
001","41","3.524","48.8","24.4","14.6","7.3","4.9",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","25","2.542","16.0","20.0","8.0","12.0","16.0","24.0",".","4.0",".",".",".",".",".",".",".","."
"Image Processing","533
001","14","2.500",".","7.1","35.7","35.7","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","45","3.311","37.8","20.0","15.6","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","537
001","45","2.831","8.9","31.1","17.8","22.2","15.6",".","4.4",".",".",".",".",".",".",".",".","."
"","002
537","42","2.787","11.9","35.7","4.8","28.6","9.5","2.4","7.1",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","87","2.810","10.3","33.3","11.5","25.3","12.6","1.1","5.7",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","539
001","18","3.206","27.8","16.7","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".","5.6","."
"","540
001","45","2.933","24.4","20.0","17.8","20.0","8.9","4.4","4.4",".",".",".",".",".",".",".",".","."
"","540
002","54","2.889","18.5","14.8","27.8","14.8","20.4","1.9","1.9",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","Course Total","99","2.909","21.2","17.2","23.2","17.2","15.2","3.0","3.0",".",".",".",".",".",".",".",".","."
"Natural Lang & Computing","545
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Comp Systms Mdlng Fundmntls","547
001","12","3.583","50.0","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","552
001","7","2.857","28.6","14.3","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"","002
552","7","2.929","28.6","14.3","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","14","2.893","28.6","14.3","21.4","21.4",".","7.1","7.1",".",".",".",".",".",".",".",".","."
