"","990
011","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
013","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
038","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"Thesis","Course Total","10","",".",".",".",".",".",".",".","70.0","10.0",".",".","20.0","",".",".",".","."
"LINGUIS
550","Dept. Total","376","3.103","33.8","16.5","22.1","5.9","10.9","3.5","3.7","2.7","0.3",".",".","0.5","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","80","3.025","28.8","23.8","17.5","6.3","16.3","3.8","3.8",".",".",".",".",".","",".",".",".","."
"Sophomore","","105","2.857","25.7","11.4","29.5","7.6","13.3","8.6","3.8",".",".",".",".",".","",".",".",".","."
"Junior","","76","3.071","34.2","15.8","22.4","7.9","14.5",".","5.3",".",".",".",".",".","",".",".",".","."
"Senior","","63","3.266","42.9","15.9","23.8","4.8","4.8","1.6","4.8","1.6",".",".",".",".","",".",".",".","."
"Undergraduates","","324","3.027","31.8","16.4","23.8","6.8","12.7","4.0","4.3","0.3",".",".",".",".","",".",".",".","."
"Special","","3","3.750","33.3","33.3",".",".",".",".",".","33.3",".",".",".",".","",".",".",".","."
"Graduate","","49","3.730","46.9","16.3","12.2",".",".",".",".","16.3","2.0",".",".","4.1","",".",".","2.0","."
"","Dept. Total","376","3.103","33.8","16.5","22.1","5.9","10.9","3.5","3.7","2.7","0.3",".",".","0.5","",".",".","0.3","."
