"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"CAVE","","","","","","","","","","","","","","","","","","","","",""
"CAVE","College Total","110","3.755","61.8","10.0","3.6","3.6","0.9","",".","0.9","8.2","0.9",".",".","9.1","",".",".","0.9","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","","NW","NR","Other"
"CAVE","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Junior","","11","3.000","27.3","27.3","9.1","27.3",".","",".","9.1",".",".",".",".",".","",".",".",".","."
"Senior","","15","3.600","66.7","6.7","13.3","6.7","6.7","",".",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","26","3.346","50.0","15.4","11.5","15.4","3.8","",".","3.8",".",".",".",".",".","",".",".",".","."
"Special","","5","3.750","40.0","40.0",".",".",".","",".",".",".",".",".",".",".","",".",".","20.0","."
"Graduate","","79","3.944","67.1","6.3","1.3",".",".","",".",".","11.4","1.3",".",".","12.7","",".",".",".","."
"","College Total","110","3.755","61.8","10.0","3.6","3.6","0.9","",".","0.9","8.2","0.9",".",".","9.1","",".",".","0.9","."
