"DANCE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"","1","001","","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","1","002","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","","Course Total","","34","4.000","91.2",".",".",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"","11","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","11","002","","16","4.000","81.3",".",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Modern Dance I","","Course Total","","27","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111","001","","21","3.625","33.3","52.4","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Modern Dance II","12","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125","001","","28","3.460","35.7","25.0","14.3","14.3",".",".",".","10.7",".",".",".",".",".",".",".","."
"Rhythmic Movement Lab I","144","001","","20","3.775","80.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151","001","","36","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153","001","","9","3.942","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167","001","","28","3.607","39.3","42.9","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21","001","","30","3.667","36.7","33.3","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211","001","","20","3.605","40.0","40.0","10.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"Modern Dance Technique IV","212","001","","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22","001","","22","3.767","40.9","22.7","4.5",".",".",".",".","31.8",".",".",".",".",".",".",".","."
"Ballet Technique II","225","001","","25","3.500","32.0","28.0","24.0","4.0",".",".",".","12.0",".",".",".",".",".",".",".","."
"Survey-Interarts & Technology","260","001","","25","3.460","48.0","20.0","28.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","31","001","","27","3.457","22.2","37.0","22.2","3.7",".",".",".","14.8",".",".",".",".",".",".",".","."
"Modern Dance Technique V","311","001","","18","3.556","50.0","16.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance II","32","001","","26","3.739","50.0","30.8","7.7",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"Ballet Technique III","325","001","","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Video Desgn-Perf&Visual Art","351","001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Composition II","355","001","","14","3.286","35.7","28.6","28.6",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Teaching of Dance to Adults","372","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","055","","9","3.765","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Project","","Course Total","","36","3.896","88.9","2.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41","001","","37","3.903","73.0","5.4","5.4",".",".",".",".","13.5",".",".",".",".","2.7",".",".","."
"","41","002","","36","3.879","83.3","2.8",".","2.8","2.8",".",".","8.3",".",".",".",".",".",".",".","."
"","41","003","","31","3.820","51.6","29.0",".",".",".",".",".","19.4",".",".",".",".",".",".",".","."
"","41","004","","34","3.774","61.8","17.6","11.8",".",".",".",".","8.8",".",".",".",".",".",".",".","."
