"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","13","",".",".",".",".",".",".",".","38.5",".",".",".","7.7",".",".","53.8","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","35","",".",".",".",".",".",".",".","54.3",".",".",".","25.7",".",".","20.0","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
