"CLINICAL LABORATORY SCIEN","Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Clinical Lab Science","102
001","57","3.702","89.5",".","1.8",".","3.5",".","","5.3",".","",".","",".",".","",".","",".","",".",".","."
"Clinical Hematology I","515
001","24","3.042","8.3","16.7","54.2","16.7","4.2",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Clinical Chemistry I","525
001","18","3.250","22.2","22.2","44.4","5.6","5.6",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Lab Diagnos-Infect Disease I","535
001","24","2.938","12.5","4.2","62.5",".","20.8",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Clinical Immunohematology","550
001","23","2.804",".","8.7","60.9","13.0","17.4",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Clin Immunol & Applied Tech","560
001","18","3.528","33.3","44.4","16.7","5.6",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","575
001","7","4.000","100.0",".",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","575
002","10","3.450","40.0","30.0","10.0","20.0",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","575
003","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","575
004","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clinical Lab Science Practicum","Course Total","19","3.577","68.4","15.8","5.3","10.5",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Management Seminar","620
001","18","3.778","61.1","33.3","5.6",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"CLNLABSC
628","Dept. Total","201","3.238","44.8","13.9","27.9","5.5","6.5","",".","1.5","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.824","88.2",".","5.9",".","5.9","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","12","3.667","91.7",".",".",".",".","",".","8.3","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","57","3.050","36.8","10.5","31.6","5.3","12.3","",".","3.5","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","112","3.285","37.5","19.6","32.1","7.1","3.6","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","198","3.246","44.9","14.1","27.8","5.6","6.1","",".","1.5","",".","",".",".","",".","",".","",".",".",".","."
"Special","","3","2.714","33.3",".","33.3",".","33.3","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","201","3.238","44.8","13.9","27.9","5.5","6.5","",".","1.5","",".","",".",".","",".","",".","",".",".",".","."
