"","AFRICAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201","001","29","2.944","6.9","24.1","27.6","27.6","3.4","3.4",".","6.9",".",".",".",".",".",".",".","."
"The African Storyteller","210","001","312","2.676","16.7","9.3","16.3","19.2","27.6","4.2","2.2","3.8",".",".",".",".",".","0.6",".","."
"The African Autobiography","211","001","29","3.672","62.1","17.2","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","26","3.288","15.4","42.3","30.8","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","7","2.786","14.3",".","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"Hausa Verbal Arts in Translatn","306","001","30","3.317","36.7","20.0","23.3","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","321","001","16","3.392","18.8","50.0","18.8",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","321","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","003","17","2.994","35.3","17.6","11.8","11.8","11.8","5.9","5.9",".",".",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","38","3.250","31.6","31.6","15.8","5.3","7.9","2.6","2.6","2.6",".",".",".",".",".",".",".","."
"","323","001","13","3.038","38.5","7.7","7.7","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","323","002","13","3.042","30.8","15.4","23.1","7.7","7.7",".","7.7","7.7",".",".",".",".",".",".",".","."
"Third Semester Arabic","","Course Total","26","3.040","34.6","11.5","15.4","19.2","7.7","3.8","3.8","3.8",".",".",".",".",".",".",".","."
"First Semester Swahili","331","001","25","3.324","36.0","32.0","16.0","12.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Xhosa","351","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Xhosa","353","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Hausa","361","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","53","3.167","24.5","35.8","15.1","7.5","5.7","5.7","1.9","1.9",".",".",".",".",".",".","1.9","."
"First Semester Yoruba","371","001","9","3.393","44.4","11.1","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Civilization-Ancient Egypt","375","001","13","3.154","15.4","30.8","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Contemp African Fiction","412","001","17","2.902","23.5","5.9","29.4","23.5","5.9","5.9",".",".",".",".",".",".",".","5.9",".","."
"Contemp Afrcn&Caribbn Drama","413","001","10","3.382","50.0",".","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445","001","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Fifth Semester Yoruba","475","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Struct&Analysis-Afric Langs","501","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"African Verbal Stylistics","702","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-African Mythology","955","001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","14","",".",".",".",".",".",".",".","78.6","7.1",".",".","14.3",".",".",".","."
"","999","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 152 of 391",""
