"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","3","3.929","66.7","33.3",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","4","3.944","75.0","25.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","5","3.667","80.0",".","20.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","87","3.372","23.0","25.3","39.1","2.3",".","",".",".","6.9","",".",".","",".","",".","",".",".","1.1","2.3"
"Prof Yr 4","204","3.766","59.8","23.5","7.4",".","0.5","",".","0.5","8.3","",".",".","",".","",".","",".",".",".","."
"Professionals","297","3.586","49.5","23.6","16.8","0.7","0.3","",".","0.3","7.7","",".",".","",".","",".","",".",".","0.3","0.7"
