"","999
042","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
043","3","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
047","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","18","4.000","88.9",".",".",".","",".","",".","",".",".",".",".","",".",".","11.1",".",".","."
"ELPA
305","Dept. Total","429","3.911","69.2","7.5","1.9","0.7","",".","",".","",".","13.3","0.2",".","",".","2.8","3.7","0.2","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Senior","","3","3.700","66.7","33.3",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","","4","3.750","75.0","25.0",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Special","","74","3.920","83.8","5.4","4.1",".","",".","",".","",".","1.4",".",".","",".",".","2.7",".","2.7","."
"Graduate","","346","3.908","65.6","7.8","1.4","0.9","",".","",".","",".","16.2","0.3",".","",".","3.5","4.0","0.3",".","."
"Prof Yr 3","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Professionals","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","429","3.911","69.2","7.5","1.9","0.7","",".","",".","",".","13.3","0.2",".","",".","2.8","3.7","0.2","0.5","."
