"","990
071","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
082","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","10","",".",".",".",".",".","",".","",".","70.0",".",".",".","30.0",".",".",".","."
"POP HLTH
810","Dept. Total","267","3.690","51.7","18.7","13.5","0.4","0.4","",".","",".","12.0",".",".",".","1.1","1.5",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","3.143","33.3",".","33.3",".","33.3","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","13","3.379","38.5","7.7","46.2","7.7",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","18","3.571","33.3","38.9","22.2",".",".","",".","",".","5.6",".",".",".",".",".",".",".","."
"Undergraduates","","34","3.457","35.3","23.5","32.4","2.9","2.9","",".","",".","2.9",".",".",".",".",".",".",".","."
"Special","","28","3.679","50.0","32.1","10.7",".",".","",".","",".","7.1",".",".",".",".",".",".",".","."
"Graduate","","143","3.690","51.7","22.4","12.6",".",".","",".","",".","7.7",".",".",".","2.1","2.1",".","1.4","."
"Prof Yr 1","","21","4.000","14.3",".",".",".",".","",".","",".","81.0",".",".",".",".","4.8",".",".","."
"Prof Yr 2","","2","4.000","50.0",".",".",".",".","",".","",".","50.0",".",".",".",".",".",".",".","."
"Prof Yr 3","","9","3.925","88.9","11.1",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","","30","3.879","86.7",".","13.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Professionals","","62","3.899","61.3","1.6","6.5",".",".","",".","",".","29.0",".",".",".",".","1.6",".",".","."
"","Dept. Total","267","3.690","51.7","18.7","13.5","0.4","0.4","",".","",".","12.0",".",".",".","1.1","1.5",".","0.7","."
