"TERM : 1042","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2003-2004","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"M&ENVTOX
Dept. Total
362","139","3.177","18.7","3.6","12.2","5.0","5.8","",".","",".","47.5","",".",".","",".","5.8","",".","1.4",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","5","3.600","60.0",".","40.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","9","3.111","33.3",".","44.4",".","22.2","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","21","2.963","38.1",".","28.6","9.5","14.3","",".","",".","4.8","",".",".","",".",".","",".","4.8",".","."
"Undergraduates","35","3.073","40.0",".","34.3","5.7","14.3","",".","",".","2.9","",".",".","",".",".","",".","2.9",".","."
"Special","13","3.000","15.4",".","15.4","15.4",".","",".","",".","46.2","",".",".","",".",".","",".","7.7",".","."
"Graduate","91","3.266","11.0","5.5","3.3","3.3","3.3","",".","",".","64.8","",".",".","",".","8.8","",".",".",".","."
"Dept. Total","139","3.177","18.7","3.6","12.2","5.0","5.8","",".","",".","47.5","",".",".","",".","5.8","",".","1.4",".","."
