"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","103
001","349","2.893","23.8","9.2","34.4","6.3","17.8","6.0","2.0",".",".",".",".",".",".",".","0.6","."
"","002
103","356","2.867","20.2","17.1","21.6","14.9","18.3","5.6","1.7",".",".",".",".",".",".","0.6",".","."
"","103
003","353","2.876","20.1","13.6","30.0","5.4","26.3","2.5","1.7","0.3",".",".",".",".",".",".",".","."
"","004
103","267","2.871","24.3","12.4","28.1","8.2","17.2","7.1","2.6",".",".",".",".",".",".",".",".","."
"","103
005","259","2.992","29.7","12.4","25.5","4.6","22.4","3.1","1.9",".",".",".",".",".",".",".","0.4","."
"General Chemistry","Course Total","1584","2.896","23.2","13.0","28.0","8.1","20.5","4.9","2.0","0.1",".",".",".",".",".","0.1","0.2","."
"General Chemistry","104
001","309","2.602","17.8","4.2","29.4","4.9","32.7","8.4","2.6",".",".",".",".",".",".",".",".","."
"General Chemistry","108
001","274","2.929","24.1","8.4","36.9","11.7","12.0","3.3","3.6",".",".",".",".",".",".",".",".","."
"","001
109","254","3.096","21.3","22.4","29.1","13.4","12.2","0.8","0.8",".",".",".",".",".",".",".",".","."
"","002
109","150","3.103","23.3","18.7","30.0","12.7","14.7","0.7",".",".",".",".",".",".",".",".",".","."
"","003
109","257","3.107","22.2","19.8","32.7","13.2","9.7","1.9","0.4",".",".",".",".",".",".",".",".","."
"","109
004","63","3.405","38.1","20.6","30.2","6.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"Advanced General Chemistry","Course Total","724","3.128","23.5","20.6","30.7","12.6","11.2","1.1","0.4",".",".",".",".",".",".",".",".","."
"Chemical Principles I","115
001","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
054","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
059","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","20","3.981","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","001
327","70","3.174","38.6","14.3","20.0","8.6","11.4","4.3","1.4","1.4",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","329
001","50","3.390","34.0","34.0","22.0","4.0","2.0","4.0",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","341
001","156","2.670","17.3","11.5","21.8","13.5","23.7","5.8","4.5","1.3",".",".",".",".",".",".","0.6","."
"","342
001","14","3.179","14.3","28.6","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","342
002","12","3.292","25.0","41.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","342
003","9","3.000","11.1","22.2","55.6",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","342
005","17","3.265","29.4","11.8","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","342
006","17","3.281","23.5","17.6","41.2","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"Organic Chemistry Lab","Course Total","69","3.221","21.7","23.2","39.1","8.7","4.3","1.4",".","1.4",".",".",".",".",".",".",".","."
"","343
001","326","2.765","16.6","16.6","23.0","15.0","19.9","4.9","3.7","0.3",".",".",".",".",".",".",".","."
"","002
343","212","2.872","14.2","11.3","50.0","6.6","8.5","6.1","2.8","0.5",".",".",".",".",".",".",".","."
"","003
343","206","2.638","14.1","18.0","17.0","7.8","33.0","8.3","1.9",".",".",".",".",".",".",".",".","."
"","343
004","39","3.474","43.6","12.8","41.0",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","Course Total","783","2.796","16.6","15.3","29.6","10.1","19.4","5.9","2.8","0.3",".",".",".",".",".",".",".","."
"","344
001","17","3.265","29.4","17.6","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
002","17","3.265","23.5","29.4","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
003","17","3.324","23.5","35.3","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
004","17","3.176","23.5","17.6","35.3","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
005","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
006","17","3.294","17.6","41.2","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
007","16","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","344
008","16","3.313","25.0","31.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
009","14","3.357","21.4","35.7","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
