"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"628
Hist-Civ Rghts Movmnt in US","001","","34","3.438","23.5","44.1","17.6","8.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"680
Honors Thesis Colloquium","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","11","3.682","72.7","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"682","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"690
Thesis Colloquium","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"691","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698
Directed Study","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","25","3.443","40.0","28.0","16.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"805
Seminar-Medieval History","001","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".",".","."
"819
History of Mass Communication","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"837
Smr: Mod Britain & Ireland","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Smr-Hist Imp Russia, 1649-1917","001","","8","3.921","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 217 of 391",""
