"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"140
Introduction to Education","001","","25","3.820","72.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","36","3.569","36.1","44.4","16.7","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","25","3.680","44.0","48.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","35","3.529","31.4","48.6","14.3","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","146","3.702","53.4","35.6","8.9","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"399
Independent Reading","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"412
History-American Education","001","","47","3.255","19.1","27.7","40.4","10.6","2.1",".",".",".",".",".",".",".",".",".",".","."
"478
Compar Hist-Chldhood&Adoles","001","","6","3.167","16.7","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"505
Issues in Urban Education","001","","33","3.371","36.4","30.3","18.2","3.0",".","3.0","3.0","3.0",".",".",".",".","3.0",".",".","."
"516
Religion and Public Education","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Gender and Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"648","001","","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"648","002","","14","3.731","50.0","35.7","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Sociology of Education","Course Total","","21","3.575","38.1","38.1","14.3","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"699
Independent Reading","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"700
Colloquium-Ed Pol Studies","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"740
Classics in Education","001","","13","3.538","61.5","30.8",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"750
African Ed-Past,Pres&Future","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"855
Issues-Elementary Education","001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"870
Theories-Soc & Ed Change","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Education and Public Policy","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"962
Cross Natl Studies-Ed Probs","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","23","",".",".",".",".",".",".",".","87.0","4.3",".",".","8.7",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 92 of 391"
