"","999
033","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
039","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
042","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
099","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","11","3.891","63.6","18.2",".",".",".",".",".",".",".",".","",".","9.1","9.1",".",".","."
"POLI SCI
778","Dept. Total","4425","3.165","24.3","26.5","25.2","11.5","6.9","1.5","1.4","1.2","0.0","0.2","",".","0.4","0.3","0.2","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","661","3.036","17.7","25.9","26.6","16.2","10.0","2.0","1.5",".",".",".","",".",".","0.2",".",".","."
"Sophomore","","937","3.070","18.7","26.4","27.7","13.6","9.5","1.9","1.4","0.1","0.1","0.2","",".",".","0.1","0.1","0.2","."
"Junior","","1248","3.216","25.6","28.3","24.5","10.9","7.0","1.3","1.0","0.2",".","0.1","",".","0.1","0.3","0.6","0.1","."
"Senior","","1324","3.192","25.5","26.5","27.1","10.3","4.9","1.6","1.9","1.4",".","0.5","",".",".","0.1","0.2",".","0.1"
"Undergraduates","","4170","3.143","22.8","26.9","26.4","12.1","7.4","1.6","1.5","0.6","0.0","0.2","",".","0.0","0.2","0.3","0.1","0.0"
"Special","","25","3.362","12.0","28.0","20.0","4.0",".",".",".","20.0",".",".","",".",".",".",".","16.0","."
"Graduate","","226","3.800","53.1","19.0","4.9",".",".",".",".","11.5",".",".","",".","8.0","2.7",".","0.9","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","3","3.667","33.3","66.7",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","4","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","4425","3.165","24.3","26.5","25.2","11.5","6.9","1.5","1.4","1.2","0.0","0.2","",".","0.4","0.3","0.2","0.2","0.0"
