"","990
057","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
058","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
059","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
061","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","54","",".",".",".",".",".",".","",".","92.6",".",".",".","7.4","",".",".",".","."
"NEUROSCI
682","Dept. Total","231","3.632","30.7","9.5","4.3",".","1.7","0.4","",".","42.9",".","8.7",".","1.7","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"Junior","","21","3.615","66.7","23.8","4.8",".","4.8",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","54","3.686","64.8","16.7","13.0",".","1.9",".","",".","3.7",".",".",".",".","",".",".",".","."
"Undergraduates","","76","3.669","64.5","18.4","10.5",".","2.6",".","",".","3.9",".",".",".",".","",".",".",".","."
"Special","","5","2.833","20.0","40.0",".",".","40.0",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","133","3.663","15.0","4.5","1.5",".",".","0.8","",".","63.9",".","13.5",".","0.8","",".",".",".","."
"Prof Yr 3","","17","4.000","5.9",".",".",".",".",".","",".","64.7",".","11.8",".","17.6","",".",".",".","."
"Professionals","","17","4.000","5.9",".",".",".",".",".","",".","64.7",".","11.8",".","17.6","",".",".",".","."
"","Dept. Total","231","3.632","30.7","9.5","4.3",".","1.7","0.4","",".","42.9",".","8.7",".","1.7","",".",".",".","."
