"","990
043","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
044","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
046","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","20","",".",".",".",".",".","",".",".","95.0",".",".",".","5.0",".",".",".","."
"Individual Research","999
046","13","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"LCA
521","Dept. Total","487","3.416","35.3","24.4","23.4","4.9","2.7","",".","1.0","6.2","0.2",".",".","0.2","1.0","0.4",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","92","3.346","25.0","33.7","30.4","5.4","2.2","",".","1.1",".",".",".",".",".","1.1",".",".","1.1"
"Sophomore","","104","3.310","21.2","35.6","32.7","4.8","3.8","",".","1.0",".",".",".",".",".","1.0",".",".","."
"Junior","","89","3.215","27.0","19.1","36.0","10.1","4.5","",".","2.2","1.1",".",".",".",".",".",".",".","."
"Senior","","96","3.461","39.6","24.0","18.8","5.2","3.1","",".","1.0","5.2","1.0",".",".",".","1.0","1.0",".","."
"Undergraduates","","381","3.331","28.1","28.3","29.4","6.3","3.4","",".","1.3","1.6","0.3",".",".",".","0.8","0.3",".","0.3"
"Special","","7","3.818","42.9","14.3",".",".",".","",".",".","28.6",".",".",".",".",".","14.3",".","."
"Graduate","","99","3.892","62.6","10.1","2.0",".",".","",".",".","22.2",".",".",".","1.0","2.0",".",".","."
"","Dept. Total","487","3.416","35.3","24.4","23.4","4.9","2.7","",".","1.0","6.2","0.2",".",".","0.2","1.0","0.4",".","0.2"
