"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","76","3.408","43.4","26.3","15.8","2.6","9.2","2.6",".",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","61","3.484","41.0","31.1","19.7","6.6",".",".","1.6",".",".",".",".",".",".",".",".","."
"Gogol in Translation","221","001","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226","001","13","3.385","23.1","38.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","26","3.558","42.3","34.6","19.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","26","3.778","80.8","11.5","3.8",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"The World of Sagas","235","001","21","3.643","38.1","57.1",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","8","2.500",".","37.5","25.0","12.5",".","12.5","12.5",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","12","3.417","58.3","16.7","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Lit Tran:20c Fr Mastrpieces","250","001","27","3.241","18.5","37.0","33.3","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","62","3.282","16.1","30.6","48.4","3.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254","001","84","3.759","67.9","21.4","8.3",".",".",".","1.2","1.2",".",".",".",".",".",".",".","."
"Lits of Muslim Societies-Trans","257","001","23","3.109","30.4","17.4","30.4","13.0",".","4.3","4.3",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","39","3.308","17.9","35.9","41.0",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","49","3.181","16.3","24.5","38.8","10.2","6.1",".",".","2.0",".",".",".",".",".","2.0",".","."
"Mod Cen&E Europn Narr/Trans","265","001","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yidd Lit/Trans-E Eur,1850-1930","269","001","17","3.559","17.6","76.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","271","001","228","3.052","7.9","35.5","32.9","12.7","6.1","3.5","0.9",".",".",".",".",".",".",".","0.4","."
"","275","001","94","3.304","13.8","52.1","20.2","11.7","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"","275","002","249","3.211","21.3","33.3","20.9","15.7","5.2","2.0","0.4","0.8","0.4",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","343","3.237","19.2","38.5","20.7","14.6","4.1","1.5","0.6","0.6","0.3",".",".",".",".",".",".","."
"Mod Indonesian Lit in Tran","301","001","6","3.400",".","66.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"SE Asian Lit in Translation","303","001","24","3.479","33.3","33.3","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Drama-A Strindberg","336","001","7","2.854","28.6","14.3","42.9",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"In Trans:K Hamsun&20C Novel","338","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Kierkegaard&Scand Lit/Trans","339","001","17","3.521","41.2","29.4","5.9","5.9","5.9",".",".","11.8",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","11","3.319","27.3","45.5","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346","001","9","2.919",".","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410","000A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mod Serb&Croat Lit in Trans","455","001","8","3.583","50.0",".","12.5","12.5",".",".",".","25.0",".",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473","001","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
