"","999
071","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
086","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
096","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Adv Ind Work-Applied Music","Course Total","32","3.983","87.5","3.1",".",".",".","",".",".","",".","",".",".","",".","",".","9.4",".",".","."
"MUS PERF
664","Dept. Total","518","3.870","80.3","13.7","4.2","0.4","0.2","",".","0.4","",".","",".",".","",".","",".","0.6",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","65","3.698","66.2","23.1","7.7",".","1.5","",".","1.5","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","89","3.854","75.3","15.7","7.9",".",".","",".",".","",".","",".",".","",".","",".",".",".","1.1","."
"Junior","","58","3.896","82.8","13.8","3.4",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","149","3.856","77.2","16.1","5.4","1.3",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","361","3.836","75.6","16.9","6.1","0.6","0.3","",".","0.3","",".","",".",".","",".","",".",".",".","0.3","."
"Special","","10","3.205","80.0","10.0",".",".",".","",".","10.0","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","147","3.965","91.8","6.1",".",".",".","",".",".","",".","",".",".","",".","",".","2.0",".",".","."
"","Dept. Total","518","3.870","80.3","13.7","4.2","0.4","0.2","",".","0.4","",".","",".",".","",".","",".","0.6",".","0.2","."
