"","LANGUAGES & CULTURES OF A Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultures of Asia","100","001","126","3.313","25.4","31.7","31.0","4.0","4.0",".","1.6",".",".",".",".",".","2.4",".",".","."
"Bascom Course","236","001","14","3.731","57.1","21.4","14.3",".",".",".",".",".","7.1",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","10","3.111","20.0","20.0","20.0","20.0","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","35","3.306","5.7","51.4","25.7","2.9","2.9",".",".","8.6",".",".",".",".",".","2.9",".","."
"Topics in LCA","300","002","9","3.313","11.1","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1"
"Literatures-Muslim Societies","357","001","25","3.200","28.0","12.0","36.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Arts of India","362","001","7","3.400","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","49","3.021","12.2","18.4","46.9","10.2","8.2",".","2.0","2.0",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","32","3.419","37.5","18.8","31.3","6.3","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"Indian Folklore","374","001","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Indonesian Literature","401","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Southeast Asian Literature","403","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Religions of South Asia","416","001","11","3.500","27.3","36.4","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Modern Indian Theatre","429","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Medieval India","448","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Buddhist Ethics","453","001","18","3.824","66.7","22.2","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Anthropology of South Asia","462","001","14","3.357","35.7","42.9","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Indian Theories-Lit & Drama","571","001","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Writing Travels","615","001","9","3.813","77.8",".",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".","."
"Sanskrit and Asian Cultures","625","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Buddhist Thought","650","001","11","3.724","63.6",".","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Proseminar:Literatures of Asia","666","001","15","3.808","60.0","20.0","6.7",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"","699","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","799","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Smr:Interdis Approachs to Asia","815","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Topics-Turkish Oral Narr","875","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 234 of 391",""
