"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","221","3.718","71.9","14.0","9.5","0.5","1.4","0.9","1.4","0.5",".",".",".",".",".",".",".","."
"Speech Science","201","001","70","3.206","32.9","17.1","27.1","5.7","10.0","4.3",".","1.4",".",".",".",".",".",".",".","1.4"
"Normal Aspects of Hearing","202","001","65","3.477","38.5","27.7","24.6","4.6","3.1",".",".",".",".",".",".",".",".",".",".","1.5"
"Lang Devlp-Chld & Adolescnt","240","001","191","3.209","31.4","19.4","27.2","8.4","9.9","1.6","1.0",".",".",".",".",".",".",".","0.5","0.5"
"Speech Acoustics,Perception","303","001","57","3.158","12.3","35.1","31.6","17.5","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Speech Pathology I","315","001","68","3.199","23.5","16.2","48.5","2.9","7.4","1.5",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","30","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Comm Disorders","","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","424","001","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","30","3.300","26.7","20.0","46.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503","001","37","3.770","62.2","29.7","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","13","3.462","38.5","23.1","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","40","3.913","82.5","17.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysphasia in Adults","712","001","37","3.865","78.4","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Treatment of Stuttering","719","001","22","3.659","31.8","68.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","11","3.833","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","50","3.890","82.0","10.0","6.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"","791","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","791","003","8","3.722","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology","","Course Total","14","3.833","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","021","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","799","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","13","4.000","46.2",".",".",".",".",".",".","53.8",".",".",".",".",".",".",".","."
"Acoust,Electroacoust&Calibr","801","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anat, Physiol&Psychophysics","802","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Audiometry","821","001","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 180 of 391",""
