"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"Intermediate Poetry Workshp","302","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303","002","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Poetry Workshop","305","001","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","307","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition-English Tchrs","309","001","","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316","001","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"","316","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","","Course Total","","25","3.938","84.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"Writing for the Marketplace","317","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Old English","320","001","","22","2.977","36.4","18.2","9.1","13.6","9.1","9.1","4.5",".",".",".",".",".",".",".",".","."
"Middle English","321","001","","8","3.571","62.5",".","12.5",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Structure of English","324","001","","28","3.018",".","46.4","35.7","7.1","7.1",".","3.6",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","005","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"English Phonology","330","001","","31","3.467","41.9","35.5","9.7","3.2",".","6.5",".",".",".",".",".",".",".","3.2",".","."
"English Lang Variation in U.S.","331","001","","42","3.512","33.3","35.7","26.2","2.4",".",".",".",".",".",".",".",".",".","2.4",".","."
"Introduction to TESOL Methods","334","001","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"English in Society","336","001","","37","3.770","64.9","24.3","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","337","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","337","003","","8","",".",".",".",".",".",".",".",".",".","87.5",".",".",".",".","12.5","."
"TESOL Workshops","","Course Total","","18","",".",".",".",".",".",".",".",".",".","94.4",".",".",".",".","5.6","."
"Soph Honors: Rsch Meth-English","381","001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sixteenth Century","400","001","","35","2.371","11.4","11.4","17.1","17.1","22.9","11.4","8.6",".",".",".",".",".",".",".",".","."
"Spenser","405","001","","27","2.685","11.1","11.1","37.0","7.4","25.9","3.7","3.7",".",".",".",".",".",".",".",".","."
"","417","001","","35","3.250","22.9","20.0","34.3","8.6","5.7",".",".","5.7",".",".",".",".","2.9",".",".","."
"","417","002","","32","3.344","28.1","34.4","25.0","3.1","9.4",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","","Course Total","","67","3.297","25.4","26.9","29.9","6.0","7.5",".",".","3.0",".",".",".",".","1.5",".",".","."
"Milton","434","001","","34","3.118","14.7","29.4","32.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","460","001","","32","3.359","18.8","53.1","18.8","6.3",".","3.1",".",".",".",".",".",".",".",".",".","."
"","460","002","","38","3.211","18.4","39.5","28.9","7.9",".","2.6","2.6",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","","Course Total","","70","3.279","18.6","45.7","24.3","7.1",".","2.9","1.4",".",".",".",".",".",".",".",".","."
"Intell Opinion-19c Eng Lit","461","001","","25","2.980","24.0","16.0","36.0","4.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Studies in Romantic Lit","465","001","","22","2.909","22.7","9.1","31.8","9.1","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","12","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"James Joyce","503","001","","32","3.145","31.3","25.0","18.8","3.1","9.4","9.4",".","3.1",".",".",".",".",".",".",".","."
"Select Major Modern Amer Poets","509","001","","32","3.200","21.9","28.1","25.0","3.1","15.6",".",".","6.3",".",".",".",".",".",".",".","."
