"","990
015","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
016","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
017","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","28","",".",".",".",".",".",".","",".","96.4",".",".",".","3.6","",".",".",".","."
"AGRONOMY
132","Dept. Total","121","3.377","28.1","24.8","13.2","6.6","2.5","1.7","",".","22.3",".",".",".","0.8","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","3.143","14.3","42.9",".","42.9",".",".","",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","21","3.556","38.1","47.6","4.8","9.5",".",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","25","3.168","16.0","44.0","20.0","4.0","12.0","4.0","",".",".",".",".",".",".","",".",".",".","."
"Senior","","26","3.329","38.5","15.4","34.6","7.7",".","3.8","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","79","3.323","29.1","35.4","19.0","10.1","3.8","2.5","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","42","3.848","26.2","4.8","2.4",".",".",".","",".","64.3",".",".",".","2.4","",".",".",".","."
"","Dept. Total","121","3.377","28.1","24.8","13.2","6.6","2.5","1.7","",".","22.3",".",".",".","0.8","",".",".",".","."
