"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","1791","3.173","30.2","21.6","22.9","8.9","8.7","2.7","2.0","2.3","0.1","0.1","",".","",".","0.3","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","32","2.770","28.1","15.6","21.9","12.5","9.4",".","12.5",".",".",".","",".","",".",".",".",".","."
"Sophomore","","294","2.964","22.8","19.4","25.5","11.6","12.9","5.4","2.0",".",".",".","",".","",".",".","0.3",".","."
"Junior","","569","3.027","22.3","18.8","29.3","13.4","10.7","3.7","1.6",".",".",".","",".","",".","0.2",".",".","."
"Senior","","403","3.057","28.5","18.6","24.3","9.9","11.2","3.0","3.5","0.2",".",".","",".","",".","0.2","0.5",".","."
"Undergraduates","","1298","3.016","24.5","18.8","26.7","11.9","11.3","3.8","2.5","0.1",".",".","",".","",".","0.2","0.2",".","."
"Special","","25","3.384","32.0","28.0","16.0",".","12.0",".",".","8.0",".",".","",".","",".","4.0",".",".","."
"Graduate","","461","3.614","45.6","28.6","12.8","1.1","1.1",".","0.7","8.5","0.2","0.2","",".","",".","0.4",".","0.9","."
"Prof Yr 1","","2","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","5","3.921","80.0","20.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","7","3.820","57.1","42.9",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","1791","3.173","30.2","21.6","22.9","8.9","8.7","2.7","2.0","2.3","0.1","0.1","",".","",".","0.3","0.2","0.2","."
