"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Intro to Lit of Native America","172
001","106","3.391","26.4","34.9","22.6","9.4","1.9",".",".","3.8",".",".",".",".",".","0.9",".","."
"","181
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
181","19","3.447","47.4","15.8","31.6",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Freshman Honors Seminar","Course Total","31","3.597","54.8","22.6","19.4",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"","201
001","13","3.154","23.1","23.1","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","201
002","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","13","3.385","53.8","15.4","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","201
004","18","3.639","66.7","16.7","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","005
201","17","3.382","41.2","29.4","23.5",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","006
201","17","3.559","41.2","41.2","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","007
201","11","2.864","27.3",".","36.4","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","201
009","14","3.464","35.7","42.9","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","010
201","18","2.917","38.9","27.8",".","11.1","5.6",".","16.7",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","138","3.395","48.6","23.2","13.8","5.1","4.3","1.4","3.6",".",".",".",".",".",".",".",".","."
"","001
203","17","3.676","52.9","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","17","3.500","70.6","17.6",".",".",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"","003
203","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
203","17","3.824","88.2",".","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","006
203","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Writng:Beg Fict&Poet","Course Total","106","3.783","78.3","12.3","5.7","0.9","0.9","0.9","0.9",".",".",".",".",".",".",".",".","."
"English Lit before 1800","001
215","148","3.304","18.9","33.1","39.2","7.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"English Lit 1800-Present","216
001","147","3.175","21.1","32.7","25.9","7.5","9.5","1.4","1.4",".",".",".",".",".",".","0.7",".","."
"American Lit 1620-Present","217
001","112","3.518","34.8","37.5","25.0","1.8","0.9",".",".",".",".",".",".",".",".",".",".","."
"Shakespearean Drama","219
001","213","2.712","8.9","11.3","42.3","11.3","18.8","2.3","4.7",".",".",".",".",".",".",".","0.5","."
"Intro-Chicano & Chicana Lit","234
001","14","2.964","7.1","28.6","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"","236
001","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
002","11","3.500","36.4","18.2","18.2","9.1",".",".",".","9.1",".",".",".",".",".",".",".","9.1"
"","236
003","18","3.167","5.6","38.9","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","Course Total","47","3.444","29.8","34.0","23.4","8.5",".",".",".","2.1",".",".",".",".",".",".",".","2.1"
"Women in Ethnic Amer Lit","248
001","18","3.000","11.1","22.2","38.9","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","23","3.522","26.1","56.5","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Indian Oral Literature","275
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","15","3.433","13.3","60.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","15","3.633","46.7","46.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","45","3.644","44.4","44.4","8.9",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","301
001","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","13","3.725","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","12","3.583","50.0","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","301
005","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
301","13","3.538","46.2","30.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","Course Total","82","3.706","56.1","34.1","6.1","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
