"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"","760
003","73","3.808","74.0","16.4","6.8","2.7",".",".",".",".",".","",".",".","",".",".","",".",".","."
"","760
004","70","3.807","68.6","25.7","4.3","1.4",".",".",".",".",".","",".",".","",".",".","",".",".","."
"","760
034","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","760
103","4","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","760
104","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","152","3.805","71.1","21.1","5.9","2.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Conf:Rsch Workers Hosp Phm","961
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".","",".",".","",".",".","",".",".","."
"Advanced Independent Study","999
027","6","4.000","16.7",".",".",".",".",".",".","83.3",".","",".",".","",".",".","",".",".","."
"PHM PRAC
728","Dept. Total","820","3.662","53.3","20.2","15.9","7.6","1.8","0.5","0.1","0.6","",".",".","",".",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","28","3.344","39.3","14.3","21.4","14.3","7.1","3.6",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","31","3.329","35.5","16.1","25.8","12.9","6.5","3.2",".",".","",".",".","",".",".","",".",".",".","."
"Special","","6","2.438","33.3","16.7",".","16.7",".","16.7","16.7",".","",".",".","",".",".","",".",".",".","."
"Graduate","","22","3.589","36.4","22.7","13.6",".","4.5",".",".","22.7","",".",".","",".",".","",".",".",".","."
"Prof Yr 1","","165","3.553","85.5","7.3","4.2","1.8","0.6",".",".",".","",".",".","",".","0.6","",".",".",".","."
"Prof Yr 2","","281","3.354","63.7","14.2","14.2","5.7","1.1","0.7",".",".","",".",".","",".","0.4","",".",".",".","."
"Prof Yr 3","","443","3.431","62.5","12.4","15.6","7.4","2.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","252","3.825","73.8","19.0","5.2","2.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1141","3.669","68.6","13.6","11.3","5.0","1.1","0.2",".",".","",".",".","",".","0.2","",".",".",".","."
"","Dept. Total","1200","3.662","67.0","13.8","11.7","5.2","1.3","0.3","0.1","0.4","",".",".","",".","0.2","",".",".",".","."
