"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","104","3.702","64.4","26.0","4.8","1.0","1.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"300","002","","91","3.972","94.5","3.3","1.1",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"300","020","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","213","3.842","80.3","14.1","2.8","0.5","0.9","0.5","0.5","0.5",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","23","3.761","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Acad Instr:Learn & Behav Disab","001","","30","3.667","56.7","30.0","3.3","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","34","3.909","85.3","8.8",".","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"471","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","003","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth&Curric:Lrn&Bhv Disabl,K-9","Course Total","","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"472","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"472","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"472","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","Course Total","","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"473
Mgmt: Stdts/Lrn&Bhv Disability","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"475","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","","4","***","","","","","","","","","","","","","","","",""
"476","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"476","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Stdts/Lrn&Bhv Dis, 6-12","Course Total","","3","***","","","","","","","","","","","","","","","",""
"477","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"477","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"477","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Rehab-Cnslg Psych: Foundatn","001","","34","3.868","94.1","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Bio,Psych,&Voc Aspt-Disabil","001","","41","3.841","80.5","9.8","7.3","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"506
Strategy-Inclusive Schoolng","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Assessmnt Adults-Disablties","001","","21","3.525","33.3","38.1","19.0","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"560
Rehab Psych-Psycho-Soc Asp","001","","21","3.975","90.5","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".",".","."
"630
Intrshp-Rehab or Spec Educ","019","","18","3.921","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Intro-Augmentative Commun","001","","19","3.750","57.9","31.6",".","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"660
Special Topics","012","","6","3.700","66.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7"
"690","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","11","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 79 of 391"
