"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","18","3.611","44.4","38.9","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","003
101","21","3.425","42.9","28.6","14.3","4.8",".",".","4.8",".",".",".",".",".",".",".",".","4.8"
"","101
005","19","3.556","47.4","26.3","10.5","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","006
101","18","3.611","33.3","61.1",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","19","3.474","31.6","47.4","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","16","3.700","62.5","12.5","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"","101
009","20","3.395","30.0","35.0","20.0",".","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","101
010","18","3.500","55.6","11.1","16.7","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"","101
011","19","3.222","31.6","26.3","10.5","5.3","21.1",".",".","5.3",".",".",".",".",".",".",".","."
"","101
013","21","3.735","52.4","23.8",".",".","4.8",".",".","19.0",".",".",".",".",".",".",".","."
"First Semester French","Course Total","189","3.517","42.9","31.2","10.1","5.3","4.2","0.5","0.5","4.8",".",".",".",".",".",".",".","0.5"
"","102
001","8","3.000","12.5","25.0","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
002","15","2.967","20.0","20.0","26.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","102
003","22","3.400","31.8","22.7","27.3","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","4.5"
"","005
102","19","3.395","26.3","36.8","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","20","3.325","15.0","45.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
008","18","2.941",".","44.4","27.8","11.1","5.6",".","5.6","5.6",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","102","3.207","18.6","33.3","28.4","8.8","5.9","1.0","1.0","2.0",".",".",".",".",".",".",".","1.0"
"First Sem French Honors","181
001","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","23","3.217","17.4","39.1","34.8","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"","203
002","23","3.022","8.7","34.8","21.7","21.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"","203
004","19","2.889","15.8","21.1","26.3","10.5","15.8",".","5.3","5.3",".",".",".",".",".",".",".","."
"","203
006","22","3.318","31.8","22.7","31.8","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","007
203","24","2.979","16.7","20.8","25.0","25.0","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","203
008","20","2.950","10.0","35.0","30.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","203
010","19","3.237","15.8","42.1","26.3","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","011
203","16","3.357","31.3","18.8","25.0","6.3","6.3",".",".","12.5",".",".",".",".",".",".",".","."
"","203
012","16","3.321","25.0","25.0","25.0","6.3","6.3",".",".","6.3",".",".",".",".",".",".","6.3","."
"Third Semester French","Course Total","182","3.130","18.7","29.1","27.5","10.4","8.8","1.6","1.1","2.2",".",".",".",".",".",".","0.5","."
"","204
001","17","3.344","23.5","23.5","41.2","5.9",".",".",".",".",".",".",".",".",".","5.9",".","."
"","204
002","20","2.825",".","10.0","60.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","004
204","19","3.079","15.8","36.8","26.3",".","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"","204
006","20","2.974",".","45.0","30.0","10.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","204
008","18","3.222","11.1","38.9","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","204
010","20","2.700","15.0","10.0","35.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"","011
204","18","3.417","22.2","50.0","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","132","3.065","12.1","30.3","35.6","11.4","5.3","1.5","2.3","0.8",".",".",".",".",".","0.8",".","."
"","227
002","22","3.364","22.7","59.1","9.1","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","227
003","23","3.432","34.8","39.1","17.4",".",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"","004
227","21","2.976","14.3","23.8","28.6","28.6",".",".","4.8",".",".",".",".",".",".",".",".","."
"","227
005","24","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","90","3.382","31.1","41.1","15.6","7.8",".",".","3.3","1.1",".",".",".",".",".",".",".","."
"","001
228","18","3.477","33.3","33.3","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","23","3.885","69.6","26.1",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","228
003","17","3.525","23.5","58.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 202 of 391",""
