"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","64","3.151","26.6","25.0","20.3","17.2","6.3",".","3.1","1.6",".",".",".",".",".",".",".","."
"They: Race in Amer Lit","155","001","102","3.315","32.4","24.5","25.5","5.9","8.8","1.0",".","2.0",".",".",".",".",".",".",".","."
"","199","007","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","020","21","3.619","52.4","23.8","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","64","3.877","84.4","7.8","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","20","3.750","75.0","15.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","98","3.240","32.7","21.4","20.4","13.3","7.1","3.1",".","2.0",".",".",".",".",".",".",".","."
"Heroes, Rogues & Scoundrels","237","001","7","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241","001","36","3.314","38.9","22.2","22.2","5.6",".","8.3",".",".",".",".",".",".",".","2.8",".","."
"Intro to Afro-American Art","242","001","57","3.115","22.8","26.3","12.3","15.8","10.5","3.5",".","7.0",".",".",".",".",".","1.8",".","."
"Black Autobiography","265","001","60","3.167","20.0","31.7","20.0","13.3","8.3",".","1.7","5.0",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","26","2.865","26.9","19.2","19.2","7.7","15.4","3.8","7.7",".",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","37","2.986","21.6","18.9","21.6","16.2","18.9","2.7",".",".",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","28","3.446","50.0","17.9","21.4",".","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"Blacks, Film, and Society","303","001","20","3.075","30.0","30.0","20.0","5.0",".","10.0","5.0",".",".",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413","001","15","2.755","6.7","20.0","33.3","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"Black Feminisms","423","001","17","3.281","29.4","17.6","29.4","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Discrimntn&Prejudice-Am Soc","442","001","36","3.294","36.1","19.4","27.8","2.8","2.8","2.8","2.8","5.6",".",".",".",".",".",".",".","."
"Mutl Perceptns-Racl Minorty","443","001","7","2.600","14.3",".","14.3",".","42.9",".",".",".",".",".",".",".","14.3",".",".","14.3"
"Race,Gendr,Ethn-Labor Markt","460","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Crit&Theor Iss: Afro-Am Lit","605","001","14","3.000","21.4","14.3","35.7","14.3",".",".","7.1",".",".",".",".",".","7.1",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","24","3.375","25.0","41.7","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","13","3.625","46.2","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".","7.7",".","."
"Visual Cultr, Gender&Race Thry","679","001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","15","3.664","66.7","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","699","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","09","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","22","3.728","72.7","4.5","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","790","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","10","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
