"","990
036","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
037","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
039","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".","",".",".","66.7",".",".",".","33.3","",".",".",".","."
"B M E
207","Dept. Total","313","3.615","41.2","25.6","12.8","0.6","1.0","",".","0.6","13.4",".",".",".","4.8","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","10","3.550","40.0","30.0","30.0",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","66","3.438","47.0","31.8","15.2","3.0",".","",".","3.0",".",".",".",".",".","",".",".",".","."
"Senior","","112","3.638","50.9","32.1","14.3",".","2.7","",".",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","188","3.580","48.9","31.9","15.4","1.1","1.6","",".","1.1",".",".",".",".",".","",".",".",".","."
"Special","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","158","3.693","23.4","12.0","7.0",".",".","",".",".","26.6",".","21.5",".","9.5","",".",".",".","."
"","Dept. Total","347","3.615","37.2","23.1","11.5","0.6","0.9","",".","0.6","12.1",".","9.8",".","4.3","",".",".",".","."
