"COLLEGE:  L&S","","","","","","","","","","","","","","",""
"SUBJECT:  CLASSICS (244)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W","R","F
S","FACILITY
X","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","ENRN","TOT","",""
"A1","100","LEC","001","1","-","","","","","","ONLINE","","24","0006242119","P / HANNA GOLAB"
"A1","110","LEC","001","2","-","","","","","","ONLINE","162","46","0003674862","P / MARC KLEIJWEGT"
"A1","110","DIS","301","2","09:55 - 10:45","","","W","","","ONLINE","24","4","0001533146","P / ETHAN CRAMER"
"A1","110","DIS","302","2","11:00 - 11:50","","","W","","","ONLINE","24","8","0001533146","P / ETHAN CRAMER"
"A1","110","DIS","303","2","17:40 - 18:30","","","W","","","0048 B119","12","5","0001533146","P / ETHAN CRAMER"
"A1","110","DIS","304","2","18:45 - 19:35","","","W","","","0048 B119","12","6","0001533146","P / ETHAN CRAMER"
"A1","110","DIS","305","2","15:30 - 16:20","","","W","","","0048 B119","11","3","0005578722","P / JOSEPH HANAUER"
"A1","110","DIS","306","2","16:35 - 17:25","","","W","","","0048 B119","12","4","0005578722","P / JOSEPH HANAUER"
"A1","110","DIS","307","2","08:50 - 09:40","","","","R","","ONLINE","22","9","0005578722","P / JOSEPH HANAUER"
"A1","110","DIS","308","2","09:55 - 10:45","","","","R","","ONLINE","24","7","0005578722","P / JOSEPH HANAUER"
"A1","110","DIS","333","2","-","","","","","","","21","0","0003674862","P / MARC KLEIJWEGT"
"A1","150","LEC","001","1","11:00 - 11:50","","","","","F","ONLINE","","113","0005110389","P / WILLIAM BROCKLISS"
"A1","227","LEC","001","4","09:30 - 10:45","","T","","R","","ONLINE","103","52","0004904020","P / JEREMY HUTTON"
"A1","300","LEC","001","2","09:30 - 10:45","","T","","R","","ONLINE","71","28","0002602168","P / NICHOLAS CAHILL"
"A1","320","LEC","001","1","-","","","","","","ONLINE","","169","0000508990","P / JEFFREY BENEKER"
"A1","320","DIS","301","1","-","","","","","","ONLINE","","16","0004641152","P / XIMING LU"
"A1","320","DIS","301","1","-","","","","","","ONLINE","","16","0000508990","S / JEFFREY BENEKER"
"A1","320","DIS","302","1","09:55 - 10:45","","","","","F","ONLINE","","16","0004641152","P / XIMING LU"
"A1","320","DIS","302","1","09:55 - 10:45","","","","","F","ONLINE","","16","0000508990","S / JEFFREY BENEKER"
"A1","320","DIS","303","1","11:00 - 11:50","","","","","F","ONLINE","","16","0004641152","P / XIMING LU"
"A1","320","DIS","303","1","11:00 - 11:50","","","","","F","ONLINE","","16","0000508990","S / JEFFREY BENEKER"
"A1","320","DIS","304","1","-","","","","","","ONLINE","","14","0000508990","S / JEFFREY BENEKER"
"A1","320","DIS","304","1","-","","","","","","ONLINE","","14","0005899431","P / JOSHUA KELLY"
"A1","320","DIS","305","1","-","","","","","","ONLINE","","15","0006084633","P / AARON SUITER"
"A1","320","DIS","305","1","-","","","","","","ONLINE","","15","0000508990","S / JEFFREY BENEKER"
"A1","320","DIS","306","1","13:20 - 14:10","","","","R","","ONLINE","","16","0006084633","P / AARON SUITER"
"A1","320","DIS","306","1","13:20 - 14:10","","","","R","","ONLINE","","16","0000508990","S / JEFFREY BENEKER"
"A1","320","DIS","307","1","14:25 - 15:15","","","","R","","ONLINE","","16","0000508990","P / JEFFREY BENEKER"
"A1","320","DIS","308","1","12:05 - 12:55","","","","R","","ONLINE","","15","0006084633","P / AARON SUITER"
