"HEC","","","","","","","","","","","","","","","","","","","","",""
"HUMAN DEVEL & FAMILY STUDI Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","","",""
"HDFS
Dept. Total
230","1059","3.612","54.3","25.0","11.2","3.8","1.9","0.8","0.3","1.9","",".",".","",".","",".","0.3",".","0.5","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","115","3.450","37.4","32.2","20.0","6.1","3.5","0.9",".",".","",".",".","",".","",".",".",".",".","."
"Junior","348","3.609","58.3","23.0","10.3","4.0","2.6","1.1","0.3",".","",".",".","",".","",".","0.3",".",".","."
"Senior","528","3.633","55.5","27.5","10.8","3.4","1.3","0.8","0.4","0.4","",".",".","",".","",".",".",".",".","."
"Undergraduates","992","3.602","54.3","26.4","11.8","3.9","2.0","0.9","0.3","0.2","",".",".","",".","",".","0.1",".",".","."
"Special","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","56","3.961","53.6",".","1.8",".",".",".",".","32.1","",".",".","",".","",".","3.6",".","8.9","."
"Prof Yr 4","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","1059","3.612","54.3","25.0","11.2","3.8","1.9","0.8","0.3","1.9","",".",".","",".","",".","0.3",".","0.5","."
