"EGR","","","","","","","","","","","","","","","","","","",""
"CIVIL AND ENVIRONMENTAL EN Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","",""
"CIV ENGR
Dept. Total
240","1342","3.364","41.8","16.5","19.1","6.9","4.2","1.6","0.2","6.3","0.2",".","",".","2.8","0.4",".","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","29","3.470","48.3","20.7","13.8","13.8","3.4",".",".",".",".",".","",".",".",".",".",".","."
"Junior","165","3.149","30.9","18.8","24.2","17.0","6.1","2.4","0.6",".",".",".","",".",".",".",".",".","."
"Senior","804","3.360","43.8","19.4","22.8","7.0","5.0","1.7","0.1","0.1",".",".","",".",".","0.1",".",".","."
"Undergraduates","999","3.329","41.8","19.3","22.7","8.8","5.1","1.8","0.2","0.1",".",".","",".",".","0.1",".",".","."
"Special","39","2.597","17.9","5.1","28.2","12.8","7.7","7.7","2.6","10.3","5.1",".","",".",".",".",".","2.6","."
"Graduate","304","3.764","44.7","8.6","5.9",".","0.7",".",".","26.3","0.3",".","",".","12.2","1.3",".",".","."
"Dept. Total","1342","3.364","41.8","16.5","19.1","6.9","4.2","1.6","0.2","6.3","0.2",".","",".","2.8","0.4",".","0.1","."
