"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","110
005","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"","110
006","15","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","26","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"Grammar for Academic Use","115
001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","002
116","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","116
003","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","004
116","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","55","",".",".",".",".",".",".",".",".",".","94.5","5.5",".",".",".",".","."
"","117
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","004
117","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","005
117","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","117
006","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
008","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","009
117","14","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","010
117","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","011
117","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"","117
014","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
015","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"Academic Writing I","Course Total","184","",".",".",".",".",".",".",".",".",".","95.7","4.3",".",".",".",".","."
"","118
001","13","3.538","46.2","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
118","13","3.692","53.8","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
118","15","3.600","53.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
118","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
118","14","3.464","50.0","35.7","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","007
118","13","2.885","30.8","15.4","15.4","7.7","23.1",".","7.7",".",".",".",".",".",".",".",".","."
"","008
118","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
118","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","010
118","14","3.321","28.6","35.7","7.1","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","118
011","13","3.462","38.5","30.8","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","012
118","15","3.267","33.3","40.0","6.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","118
013","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
014","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
118","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
016","15","3.467","53.3","13.3","20.0",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","118
017","14","3.143","28.6","21.4","14.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"","018
118","15","3.267","13.3","46.7","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Academic Writing II","Course Total","241","3.494","45.2","30.3","12.0","7.9","3.3",".","1.2",".",".",".",".",".",".",".",".","."
"Oral Communication Skills","343
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Present. and Discussion","344
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"American English Pronunciation","345
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Academic Writing for Grads","349
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 215 of 430",""
