"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Depth Topic","Course Total","193","3.563","61.1","14.5","9.8","6.2","4.7","1.0","1.0","0.5",".",".",".",".","1.0",".",".","."
"503
Social Development","001","89","3.275","32.6","29.2","15.7","12.4","7.9","1.1","1.1",".",".",".",".",".",".",".",".","."
"507
Psychology of Personality","001","170","3.065","29.4","15.9","22.4","13.5","13.5","3.5","1.2",".",".",".",".",".","0.6",".",".","."
"509
Abnormal Psychology","001","194","3.180","26.3","25.8","23.2","13.4","9.3","1.0","1.0",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","8","3.188","37.5","37.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"526
Criminal Mind:Forensics/Scienc","001","107","3.429","33.6","40.2","15.0","5.6","2.8",".","1.9",".",".",".",".",".","0.9",".",".","."
"528","001","126","2.754","21.4","15.9","16.7","15.9","18.3","7.9","4.0",".",".",".",".",".",".",".",".","."
"528","002","13","3.500","46.2","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Cultural Psychology","Course Total","139","2.824","23.7","16.5","17.3","14.4","17.3","7.2","3.6",".",".",".",".",".",".",".",".","."
"530
Intro-Social Psychology","001","60","3.103","15.0","25.0","31.7","15.0","10.0",".",".","3.3",".",".",".",".",".",".",".","."
"556
Hormones and Behavior","001","16","3.594","62.5","18.8","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"560
Child Psychology","001","187","3.168","20.3","27.8","27.8","10.7","11.2","0.5",".","0.5",".",".",".",".","0.5",".","0.5","."
"583
Honors Social Development","001","15","3.733","66.7","26.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"588
Intro to Cultural Psych-Honors","001","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Systems Neuroscience","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"620","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"620","006","9","3.659","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"620","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"620","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"620","011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"620","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"620","016","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","017","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"620","022","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","023","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"620","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"620","038","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"620","040","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","044","2","***","","","","","","","","","",".",".",".",".",".",".","."
"620","051","2","***","","","","","","","","","",".",".",".",".",".",".","."
"620","053","3","***","","","","","","","","","",".",".",".",".",".",".","."
"620","055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"620","065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"620","075","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Mentored Rsrch & Smnr","Course Total","137","3.976","97.1","1.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"621","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"621","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"621","007","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621","009","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621","010","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 301 of 430",""
